adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,,,,,espn,standard,1.95,,,2026-07-18T22:47:57.609893+00:00,jahmyr gibbs
2,Bijan Robinson,RB,,,,,espn,standard,2.27,,,2026-07-18T22:47:57.609893+00:00,bijan robinson
3,Puka Nacua,WR,,,,,espn,standard,3.64,,,2026-07-18T22:47:57.609893+00:00,puka nacua
4,Ja'Marr Chase,WR,,,,,espn,standard,4.69,,,2026-07-18T22:47:57.609893+00:00,jamarr chase
5,Christian McCaffrey,RB,,,,,espn,standard,5.48,,,2026-07-18T22:47:57.609893+00:00,christian mccaffrey
6,Jaxon Smith-Njigba,WR,,,,,espn,standard,6.31,,,2026-07-18T22:47:57.609893+00:00,jaxon smithnjigba
7,Amon-Ra St. Brown,WR,,,,,espn,standard,7.8,,,2026-07-18T22:47:57.609893+00:00,amonra st brown
8,Jonathan Taylor,RB,,,,,espn,standard,8.46,,,2026-07-18T22:47:57.609893+00:00,jonathan taylor
9,CeeDee Lamb,WR,,,,,espn,standard,11.23,,,2026-07-18T22:47:57.609893+00:00,ceedee lamb
10,De'Von Achane,RB,,,,,espn,standard,12.1,,,2026-07-18T22:47:57.609893+00:00,devon achane
11,Justin Jefferson,WR,,,,,espn,standard,12.54,,,2026-07-18T22:47:57.609893+00:00,justin jefferson
12,James Cook III,RB,,,,,espn,standard,13.33,,,2026-07-18T22:47:57.609893+00:00,james cook
13,Ashton Jeanty,RB,,,,,espn,standard,13.7,,,2026-07-18T22:47:57.609893+00:00,ashton jeanty
14,Saquon Barkley,RB,,,,,espn,standard,15.37,,,2026-07-18T22:47:57.609893+00:00,saquon barkley
15,Jeremiyah Love,RB,,,,,espn,standard,18.55,,,2026-07-18T22:47:57.609893+00:00,jeremiyah love
16,Derrick Henry,RB,,,,,espn,standard,18.61,,,2026-07-18T22:47:57.609893+00:00,derrick henry
17,Drake London,WR,,,,,espn,standard,20.27,,,2026-07-18T22:47:57.609893+00:00,drake london
18,Omarion Hampton,RB,,,,,espn,standard,20.62,,,2026-07-18T22:47:57.609893+00:00,omarion hampton
19,Trey McBride,TE,,,,,espn,standard,21.08,,,2026-07-18T22:47:57.609893+00:00,trey mcbride
20,Brock Bowers,TE,,,,,espn,standard,23.55,,,2026-07-18T22:47:57.609893+00:00,brock bowers
21,Josh Allen,QB,,,,,espn,standard,23.75,,,2026-07-18T22:47:57.609893+00:00,joshua allen
22,Nico Collins,WR,,,,,espn,standard,23.75,,,2026-07-18T22:47:57.609893+00:00,nico collins
23,Rashee Rice,WR,,,,,espn,standard,25.41,,,2026-07-18T22:47:57.609893+00:00,rashee rice
24,Josh Jacobs,RB,,,,,espn,standard,26.69,,,2026-07-18T22:47:57.609893+00:00,joshua jacobs
25,Chase Brown,RB,,,,,espn,standard,27.2,,,2026-07-18T22:47:57.609893+00:00,chase brown
26,A.J. Brown,WR,,,,,espn,standard,27.28,,,2026-07-18T22:47:57.609893+00:00,aj brown
27,George Pickens,WR,,,,,espn,standard,27.58,,,2026-07-18T22:47:57.609893+00:00,george pickens
28,Kenneth Walker III,RB,,,,,espn,standard,28.18,,,2026-07-18T22:47:57.609893+00:00,kenneth walker
29,Malik Nabers,WR,,,,,espn,standard,30.2,,,2026-07-18T22:47:57.609893+00:00,malik nabers
30,Chris Olave,WR,,,,,espn,standard,33.39,,,2026-07-18T22:47:57.609893+00:00,christopher olave
31,Breece Hall,RB,,,,,espn,standard,33.97,,,2026-07-18T22:47:57.609893+00:00,breece hall
32,DeVonta Smith,WR,,,,,espn,standard,36.9,,,2026-07-18T22:47:57.609893+00:00,devonta smith
33,Lamar Jackson,QB,,,,,espn,standard,36.99,,,2026-07-18T22:47:57.609893+00:00,lamar jackson
34,Javonte Williams,RB,,,,,espn,standard,37.78,,,2026-07-18T22:47:57.609893+00:00,javonte williams
35,Kyren Williams,RB,,,,,espn,standard,38.16,,,2026-07-18T22:47:57.609893+00:00,kyren williams
36,Garrett Wilson,WR,,,,,espn,standard,38.4,,,2026-07-18T22:47:57.609893+00:00,garrett wilson
37,Tetairoa McMillan,WR,,,,,espn,standard,41.76,,,2026-07-18T22:47:57.609893+00:00,tetairoa mcmillan
38,Cam Skattebo,RB,,,,,espn,standard,43.03,,,2026-07-18T22:47:57.609893+00:00,cameron skattebo
