adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,,,,,espn,standard,1.45,,,2026-08-24T00:32:35.608012+00:00,jahmyr gibbs
2,Bijan Robinson,RB,,,,,espn,standard,2.51,,,2026-08-24T00:32:35.608012+00:00,bijan robinson
3,Ja'Marr Chase,WR,,,,,espn,standard,3.94,,,2026-08-24T00:32:35.608012+00:00,jamarr chase
4,Puka Nacua,WR,,,,,espn,standard,5.08,,,2026-08-24T00:32:35.608012+00:00,puka nacua
5,Jaxon Smith-Njigba,WR,,,,,espn,standard,5.77,,,2026-08-24T00:32:35.608012+00:00,jaxon smithnjigba
6,Christian McCaffrey,RB,,,,,espn,standard,7.18,,,2026-08-24T00:32:35.608012+00:00,christian mccaffrey
7,Jonathan Taylor,RB,,,,,espn,standard,7.76,,,2026-08-24T00:32:35.608012+00:00,jonathan taylor
8,Amon-Ra St. Brown,WR,,,,,espn,standard,8.3,,,2026-08-24T00:32:35.608012+00:00,amonra st brown
9,CeeDee Lamb,WR,,,,,espn,standard,10.67,,,2026-08-24T00:32:35.608012+00:00,ceedee lamb
10,De'Von Achane,RB,,,,,espn,standard,12.04,,,2026-08-24T00:32:35.608012+00:00,devon achane
11,Justin Jefferson,WR,,,,,espn,standard,12.16,,,2026-08-24T00:32:35.608012+00:00,justin jefferson
12,James Cook III,RB,,,,,espn,standard,12.6,,,2026-08-24T00:32:35.608012+00:00,james cook
13,Saquon Barkley,RB,,,,,espn,standard,15.86,,,2026-08-24T00:32:35.608012+00:00,saquon barkley
14,Ashton Jeanty,RB,,,,,espn,standard,16.32,,,2026-08-24T00:32:35.608012+00:00,ashton jeanty
15,Drake London,WR,,,,,espn,standard,18.64,,,2026-08-24T00:32:35.608012+00:00,drake london
16,Derrick Henry,RB,,,,,espn,standard,19.16,,,2026-08-24T00:32:35.608012+00:00,derrick henry
17,Trey McBride,TE,,,,,espn,standard,20.4,,,2026-08-24T00:32:35.608012+00:00,trey mcbride
18,Jeremiyah Love,RB,,,,,espn,standard,21.64,,,2026-08-24T00:32:35.608012+00:00,jeremiyah love
19,Josh Allen,QB,,,,,espn,standard,21.88,,,2026-08-24T00:32:35.608012+00:00,joshua allen
20,Rashee Rice,WR,,,,,espn,standard,22.17,,,2026-08-24T00:32:35.608012+00:00,rashee rice
21,Kenneth Walker III,RB,,,,,espn,standard,22.55,,,2026-08-24T00:32:35.608012+00:00,kenneth walker
22,Chase Brown,RB,,,,,espn,standard,22.98,,,2026-08-24T00:32:35.608012+00:00,chase brown
23,Brock Bowers,TE,,,,,espn,standard,24.21,,,2026-08-24T00:32:35.608012+00:00,brock bowers
24,Omarion Hampton,RB,,,,,espn,standard,26.75,,,2026-08-24T00:32:35.608012+00:00,omarion hampton
25,A.J. Brown,WR,,,,,espn,standard,27.1,,,2026-08-24T00:32:35.608012+00:00,aj brown
26,Nico Collins,WR,,,,,espn,standard,27.21,,,2026-08-24T00:32:35.608012+00:00,nico collins
27,George Pickens,WR,,,,,espn,standard,30.63,,,2026-08-24T00:32:35.608012+00:00,george pickens
28,Chris Olave,WR,,,,,espn,standard,32.05,,,2026-08-24T00:32:35.608012+00:00,christopher olave
29,Breece Hall,RB,,,,,espn,standard,33.1,,,2026-08-24T00:32:35.608012+00:00,breece hall
30,Malik Nabers,WR,,,,,espn,standard,34.6,,,2026-08-24T00:32:35.608012+00:00,malik nabers
31,Javonte Williams,RB,,,,,espn,standard,36.4,,,2026-08-24T00:32:35.608012+00:00,javonte williams
32,Josh Jacobs,RB,,,,,espn,standard,36.44,,,2026-08-24T00:32:35.608012+00:00,joshua jacobs
33,Garrett Wilson,WR,,,,,espn,standard,36.46,,,2026-08-24T00:32:35.608012+00:00,garrett wilson
34,Lamar Jackson,QB,,,,,espn,standard,38.4,,,2026-08-24T00:32:35.608012+00:00,lamar jackson
35,DeVonta Smith,WR,,,,,espn,standard,41.11,,,2026-08-24T00:32:35.608012+00:00,devonta smith
36,Zay Flowers,WR,,,,,espn,standard,41.18,,,2026-08-24T00:32:35.608012+00:00,zay flowers
37,Tetairoa McMillan,WR,,,,,espn,standard,41.99,,,2026-08-24T00:32:35.608012+00:00,tetairoa mcmillan
38,Kyren Williams,RB,,,,,espn,standard,42.64,,,2026-08-24T00:32:35.608012+00:00,kyren williams
39,Cam Skattebo,RB,,,,,espn,standard,44.1,,,2026-08-24T00:32:35.608012+00:00,cameron skattebo
40,Colston Loveland,TE,,,,,espn,standard,45.06,,,2026-08-24T00:32:35.608012+00:00,colston loveland
41,Travis Etienne Jr.,RB,,,,,espn,standard,45.15,,,2026-08-24T00:32:35.608012+00:00,travis etienne
42,Davante Adams,WR,,,,,espn,standard,46.53,,,2026-08-24T00:32:35.608012+00:00,davante adams
43,Drake Maye,QB,,,,,espn,standard,47.11,,,2026-08-24T00:32:35.608012+00:00,drake maye
44,Emeka Egbuka,WR,,,,,espn,standard,47.35,,,2026-08-24T00:32:35.608012+00:00,emeka egbuka
45,Tyler Warren,TE,,,,,espn,standard,49.42,,,2026-08-24T00:32:35.608012+00:00,tyler warren
46,Jayden Daniels,QB,,,,,espn,standard,50.61,,,2026-08-24T00:32:35.608012+00:00,jayden daniels
47,Jalen Hurts,QB,,,,,espn,standard,51.34,,,2026-08-24T00:32:35.608012+00:00,jalen hurts
48,Ladd McConkey,WR,,,,,espn,standard,51.49,,,2026-08-24T00:32:35.608012+00:00,ladd mcconkey
49,Bucky Irving,RB,,,,,espn,standard,54.65,,,2026-08-24T00:32:35.608012+00:00,bucky irving
50,Quinshon Judkins,RB,,,,,espn,standard,55.19,,,2026-08-24T00:32:35.608012+00:00,quinshon judkins
51,Tee Higgins,WR,,,,,espn,standard,56.51,,,2026-08-24T00:32:35.608012+00:00,tee higgins
52,Jaylen Waddle,WR,,,,,espn,standard,58.17,,,2026-08-24T00:32:35.608012+00:00,jaylen waddle
53,Joe Burrow,QB,,,,,espn,standard,58.91,,,2026-08-24T00:32:35.608012+00:00,joseph burrow
54,Terry McLaurin,WR,,,,,espn,standard,60.7,,,2026-08-24T00:32:35.608012+00:00,terry mclaurin
55,DJ Moore,WR,,,,,espn,standard,63.58,,,2026-08-24T00:32:35.608012+00:00,dj moore
56,Kyle Pitts Sr.,TE,,,,,espn,standard,65.21,,,2026-08-24T00:32:35.608012+00:00,kyle pitts
57,Rome Odunze,WR,,,,,espn,standard,65.75,,,2026-08-24T00:32:35.608012+00:00,rome odunze
58,D'Andre Swift,RB,,,,,espn,standard,66.14,,,2026-08-24T00:32:35.608012+00:00,dandre swift
59,Jameson Williams,WR,,,,,espn,standard,68.25,,,2026-08-24T00:32:35.608012+00:00,jameson williams
60,Sam LaPorta,TE,,,,,espn,standard,69.22,,,2026-08-24T00:32:35.608012+00:00,samuel laporta
61,David Montgomery,RB,,,,,espn,standard,71.41,,,2026-08-24T00:32:35.608012+00:00,david montgomery
62,Bhayshul Tuten,RB,,,,,espn,standard,74.47,,,2026-08-24T00:32:35.608012+00:00,bhayshul tuten
63,Harold Fannin Jr.,TE,,,,,espn,standard,75.96,,,2026-08-24T00:32:35.608012+00:00,harold fannin
64,Jaxson Dart,QB,,,,,espn,standard,76.37,,,2026-08-24T00:32:35.608012+00:00,jaxson dart
65,Luther Burden III,WR,,,,,espn,standard,77.36,,,2026-08-24T00:32:35.608012+00:00,luther burden
66,Jadarian Price,RB,,,,,espn,standard,78.18,,,2026-08-24T00:32:35.608012+00:00,jadarian price
67,TreVeyon Henderson,RB,,,,,espn,standard,78.47,,,2026-08-24T00:32:35.608012+00:00,treveyon henderson
68,Carnell Tate,WR,,,,,espn,standard,78.95,,,2026-08-24T00:32:35.608012+00:00,carnell tate
69,Matthew Stafford,QB,,,,,espn,standard,79.89,,,2026-08-24T00:32:35.608012+00:00,matthew stafford
70,Courtland Sutton,WR,,,,,espn,standard,81.57,,,2026-08-24T00:32:35.608012+00:00,courtland sutton
71,Dak Prescott,QB,,,,,espn,standard,85.66,,,2026-08-24T00:32:35.608012+00:00,dak prescott
72,Brandon Aubrey,K,,,,,espn,standard,86.15,,,2026-08-24T00:32:35.608012+00:00,brandon aubrey
73,Rhamondre Stevenson,RB,,,,,espn,standard,86.43,,,2026-08-24T00:32:35.608012+00:00,rhamondre stevenson
74,Texans D/ST,DST,,,,,espn,standard,86.99,,,2026-08-24T00:32:35.608012+00:00,texans dst
75,DK Metcalf,WR,,,,,espn,standard,87.24,,,2026-08-24T00:32:35.608012+00:00,dk metcalf
76,Bo Nix,QB,,,,,espn,standard,87.41,,,2026-08-24T00:32:35.608012+00:00,bo nix
77,Marvin Harrison Jr.,WR,,,,,espn,standard,87.6,,,2026-08-24T00:32:35.608012+00:00,marvin harrison
78,Michael Pittman Jr.,WR,,,,,espn,standard,91.52,,,2026-08-24T00:32:35.608012+00:00,michael pittman
79,Tucker Kraft,TE,,,,,espn,standard,91.57,,,2026-08-24T00:32:35.608012+00:00,tucker kraft
80,Caleb Williams,QB,,,,,espn,standard,92.49,,,2026-08-24T00:32:35.608012+00:00,caleb williams
81,Trevor Lawrence,QB,,,,,espn,standard,93.34,,,2026-08-24T00:32:35.608012+00:00,trevor lawrence
82,Mike Evans,WR,,,,,espn,standard,94.22,,,2026-08-24T00:32:35.608012+00:00,michael evans
83,Parker Washington,WR,,,,,espn,standard,96.67,,,2026-08-24T00:32:35.608012+00:00,parker washington
84,Broncos D/ST,DST,,,,,espn,standard,96.76,,,2026-08-24T00:32:35.608012+00:00,broncos dst
85,Travis Kelce,TE,,,,,espn,standard,97.73,,,2026-08-24T00:32:35.608012+00:00,travis kelce
86,Christian Watson,WR,,,,,espn,standard,97.93,,,2026-08-24T00:32:35.608012+00:00,christian watson
87,George Kittle,TE,,,,,espn,standard,98.11,,,2026-08-24T00:32:35.608012+00:00,george kittle
88,Dallas Goedert,TE,,,,,espn,standard,99.05,,,2026-08-24T00:32:35.608012+00:00,dallas goedert
89,Jaylen Warren,RB,,,,,espn,standard,100.27,,,2026-08-24T00:32:35.608012+00:00,jaylen warren
90,Alec Pierce,WR,,,,,espn,standard,101.43,,,2026-08-24T00:32:35.608012+00:00,alec pierce
91,Brock Purdy,QB,,,,,espn,standard,103.27,,,2026-08-24T00:32:35.608012+00:00,brock purdy
92,Rams D/ST,DST,,,,,espn,standard,104.42,,,2026-08-24T00:32:35.608012+00:00,rams dst
93,Brian Thomas Jr.,WR,,,,,espn,standard,104.42,,,2026-08-24T00:32:35.608012+00:00,brian thomas
