adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,,,,,espn,standard,1.35,,,2026-08-31T17:35:21.405117+00:00,jahmyr gibbs
2,Bijan Robinson,RB,,,,,espn,standard,2.39,,,2026-08-31T17:35:21.405117+00:00,bijan robinson
3,Ja'Marr Chase,WR,,,,,espn,standard,4.3,,,2026-08-31T17:35:21.405117+00:00,jamarr chase
4,Puka Nacua,WR,,,,,espn,standard,5.28,,,2026-08-31T17:35:21.405117+00:00,puka nacua
5,Jaxon Smith-Njigba,WR,,,,,espn,standard,6.15,,,2026-08-31T17:35:21.405117+00:00,jaxon smithnjigba
6,Jonathan Taylor,RB,,,,,espn,standard,6.43,,,2026-08-31T17:35:21.405117+00:00,jonathan taylor
7,Christian McCaffrey,RB,,,,,espn,standard,7.65,,,2026-08-31T17:35:21.405117+00:00,christian mccaffrey
8,Amon-Ra St. Brown,WR,,,,,espn,standard,8.34,,,2026-08-31T17:35:21.405117+00:00,amonra st brown
9,James Cook III,RB,,,,,espn,standard,10.57,,,2026-08-31T17:35:21.405117+00:00,james cook
10,CeeDee Lamb,WR,,,,,espn,standard,11.65,,,2026-08-31T17:35:21.405117+00:00,ceedee lamb
11,De'Von Achane,RB,,,,,espn,standard,12.12,,,2026-08-31T17:35:21.405117+00:00,devon achane
12,Justin Jefferson,WR,,,,,espn,standard,12.63,,,2026-08-31T17:35:21.405117+00:00,justin jefferson
13,Saquon Barkley,RB,,,,,espn,standard,14.19,,,2026-08-31T17:35:21.405117+00:00,saquon barkley
14,Derrick Henry,RB,,,,,espn,standard,16.96,,,2026-08-31T17:35:21.405117+00:00,derrick henry
15,Chase Brown,RB,,,,,espn,standard,17.63,,,2026-08-31T17:35:21.405117+00:00,chase brown
16,Josh Allen,QB,,,,,espn,standard,19.61,,,2026-08-31T17:35:21.405117+00:00,joshua allen
17,Omarion Hampton,RB,,,,,espn,standard,19.89,,,2026-08-31T17:35:21.405117+00:00,omarion hampton
18,Drake London,WR,,,,,espn,standard,19.91,,,2026-08-31T17:35:21.405117+00:00,drake london
19,Ashton Jeanty,RB,,,,,espn,standard,21.4,,,2026-08-31T17:35:21.405117+00:00,ashton jeanty
20,A.J. Brown,WR,,,,,espn,standard,21.94,,,2026-08-31T17:35:21.405117+00:00,aj brown
21,Trey McBride,TE,,,,,espn,standard,22.35,,,2026-08-31T17:35:21.405117+00:00,trey mcbride
22,Brock Bowers,TE,,,,,espn,standard,24.01,,,2026-08-31T17:35:21.405117+00:00,brock bowers
23,Kenneth Walker III,RB,,,,,espn,standard,24.78,,,2026-08-31T17:35:21.405117+00:00,kenneth walker
24,Jeremiyah Love,RB,,,,,espn,standard,25.78,,,2026-08-31T17:35:21.405117+00:00,jeremiyah love
25,Nico Collins,WR,,,,,espn,standard,25.95,,,2026-08-31T17:35:21.405117+00:00,nico collins
26,Rashee Rice,WR,,,,,espn,standard,28.11,,,2026-08-31T17:35:21.405117+00:00,rashee rice
27,George Pickens,WR,,,,,espn,standard,28.65,,,2026-08-31T17:35:21.405117+00:00,george pickens
28,Chris Olave,WR,,,,,espn,standard,29.85,,,2026-08-31T17:35:21.405117+00:00,christopher olave
29,Javonte Williams,RB,,,,,espn,standard,33.55,,,2026-08-31T17:35:21.405117+00:00,javonte williams
30,Malik Nabers,WR,,,,,espn,standard,34.53,,,2026-08-31T17:35:21.405117+00:00,malik nabers
31,Lamar Jackson,QB,,,,,espn,standard,35.41,,,2026-08-31T17:35:21.405117+00:00,lamar jackson
32,Breece Hall,RB,,,,,espn,standard,35.78,,,2026-08-31T17:35:21.405117+00:00,breece hall
33,Kyren Williams,RB,,,,,espn,standard,36.81,,,2026-08-31T17:35:21.405117+00:00,kyren williams
34,Garrett Wilson,WR,,,,,espn,standard,37.18,,,2026-08-31T17:35:21.405117+00:00,garrett wilson
35,DeVonta Smith,WR,,,,,espn,standard,37.32,,,2026-08-31T17:35:21.405117+00:00,devonta smith
36,Tetairoa McMillan,WR,,,,,espn,standard,41.74,,,2026-08-31T17:35:21.405117+00:00,tetairoa mcmillan
37,Travis Etienne Jr.,RB,,,,,espn,standard,42.42,,,2026-08-31T17:35:21.405117+00:00,travis etienne
38,Colston Loveland,TE,,,,,espn,standard,42.9,,,2026-08-31T17:35:21.405117+00:00,colston loveland
39,Zay Flowers,WR,,,,,espn,standard,44.03,,,2026-08-31T17:35:21.405117+00:00,zay flowers
40,Emeka Egbuka,WR,,,,,espn,standard,45.44,,,2026-08-31T17:35:21.405117+00:00,emeka egbuka
41,Cam Skattebo,RB,,,,,espn,standard,45.5,,,2026-08-31T17:35:21.405117+00:00,cameron skattebo
42,Davante Adams,WR,,,,,espn,standard,46.29,,,2026-08-31T17:35:21.405117+00:00,davante adams
43,Ladd McConkey,WR,,,,,espn,standard,46.71,,,2026-08-31T17:35:21.405117+00:00,ladd mcconkey
44,Drake Maye,QB,,,,,espn,standard,47.43,,,2026-08-31T17:35:21.405117+00:00,drake maye
45,Quinshon Judkins,RB,,,,,espn,standard,50.28,,,2026-08-31T17:35:21.405117+00:00,quinshon judkins
46,Tee Higgins,WR,,,,,espn,standard,51.28,,,2026-08-31T17:35:21.405117+00:00,tee higgins
47,Tyler Warren,TE,,,,,espn,standard,51.93,,,2026-08-31T17:35:21.405117+00:00,tyler warren
48,Josh Jacobs,RB,,,,,espn,standard,52.34,,,2026-08-31T17:35:21.405117+00:00,joshua jacobs
49,Jayden Daniels,QB,,,,,espn,standard,52.58,,,2026-08-31T17:35:21.405117+00:00,jayden daniels
50,Jaylen Waddle,WR,,,,,espn,standard,52.72,,,2026-08-31T17:35:21.405117+00:00,jaylen waddle
51,Jalen Hurts,QB,,,,,espn,standard,53.87,,,2026-08-31T17:35:21.405117+00:00,jalen hurts
52,Joe Burrow,QB,,,,,espn,standard,54.5,,,2026-08-31T17:35:21.405117+00:00,joseph burrow
53,D'Andre Swift,RB,,,,,espn,standard,54.72,,,2026-08-31T17:35:21.405117+00:00,dandre swift
54,Bucky Irving,RB,,,,,espn,standard,56.85,,,2026-08-31T17:35:21.405117+00:00,bucky irving
55,Terry McLaurin,WR,,,,,espn,standard,60.94,,,2026-08-31T17:35:21.405117+00:00,terry mclaurin
56,DJ Moore,WR,,,,,espn,standard,62.27,,,2026-08-31T17:35:21.405117+00:00,dj moore
57,David Montgomery,RB,,,,,espn,standard,63.71,,,2026-08-31T17:35:21.405117+00:00,david montgomery
58,Bhayshul Tuten,RB,,,,,espn,standard,63.78,,,2026-08-31T17:35:21.405117+00:00,bhayshul tuten
59,Jameson Williams,WR,,,,,espn,standard,64.58,,,2026-08-31T17:35:21.405117+00:00,jameson williams
