adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,DET,,,,ffc,half_ppr,1.5,0.7,589.0,2026-08-30T00:01:21.009649+00:00,jahmyr gibbs
2,Bijan Robinson,RB,ATL,,,,ffc,half_ppr,2.3,0.6,266.0,2026-08-30T00:01:21.009649+00:00,bijan robinson
3,Puka Nacua,WR,LAR,,,,ffc,half_ppr,3.1,0.8,57.0,2026-08-30T00:01:21.009649+00:00,puka nacua
4,Ja'Marr Chase,WR,CIN,,,,ffc,half_ppr,3.9,1.1,508.0,2026-08-30T00:01:21.009649+00:00,jamarr chase
5,Jaxon Smith-Njigba,WR,SEA,,,,ffc,half_ppr,5.1,1.4,255.0,2026-08-30T00:01:21.009649+00:00,jaxon smithnjigba
6,Jonathan Taylor,RB,IND,,,,ffc,half_ppr,5.8,1.5,467.0,2026-08-30T00:01:21.009649+00:00,jonathan taylor
7,Christian McCaffrey,RB,SF,,,,ffc,half_ppr,6.7,1.9,429.0,2026-08-30T00:01:21.009649+00:00,christian mccaffrey
8,Amon-Ra St. Brown,WR,DET,,,,ffc,half_ppr,7.9,1.6,380.0,2026-08-30T00:01:21.009649+00:00,amonra st brown
9,James Cook III,RB,BUF,,,,ffc,half_ppr,9.3,1.6,633.0,2026-08-30T00:01:21.009649+00:00,james cook
10,Derrick Henry,RB,BAL,,,,ffc,half_ppr,9.8,1.4,199.0,2026-08-30T00:01:21.009649+00:00,derrick henry
11,De'Von Achane,RB,MIA,,,,ffc,half_ppr,11.7,1.7,178.0,2026-08-30T00:01:21.009649+00:00,devon achane
12,Drake London,WR,ATL,,,,ffc,half_ppr,12.4,1.6,76.0,2026-08-30T00:01:21.009649+00:00,drake london
13,CeeDee Lamb,WR,DAL,,,,ffc,half_ppr,12.4,2.1,332.0,2026-08-30T00:01:21.009649+00:00,ceedee lamb
14,Justin Jefferson,WR,MIN,,,,ffc,half_ppr,14.0,2.5,355.0,2026-08-30T00:01:21.009649+00:00,justin jefferson
15,Chase Brown,RB,CIN,,,,ffc,half_ppr,14.8,2.5,683.0,2026-08-30T00:01:21.009649+00:00,chase brown
16,Rashee Rice,WR,KC,,,,ffc,half_ppr,16.0,3.2,55.0,2026-08-30T00:01:21.009649+00:00,rashee rice
17,Saquon Barkley,RB,PHI,,,,ffc,half_ppr,17.2,3.2,810.0,2026-08-30T00:01:21.009649+00:00,saquon barkley
18,A.J. Brown,WR,NE,,,,ffc,half_ppr,18.7,2.9,376.0,2026-08-30T00:01:21.009649+00:00,aj brown
19,George Pickens,WR,DAL,,,,ffc,half_ppr,19.4,2.2,129.0,2026-08-30T00:01:21.009649+00:00,george pickens
20,Kenneth Walker,RB,KC,,,,ffc,half_ppr,20.2,3.6,764.0,2026-08-30T00:01:21.009649+00:00,kenneth walker
21,Nico Collins,WR,HOU,,,,ffc,half_ppr,20.5,3.2,209.0,2026-08-30T00:01:21.009649+00:00,nico collins
22,Chris Olave,WR,NO,,,,ffc,half_ppr,22.7,3.9,164.0,2026-08-30T00:01:21.009649+00:00,christopher olave
23,Omarion Hampton,RB,LAC,,,,ffc,half_ppr,23.4,4.1,699.0,2026-08-30T00:01:21.009649+00:00,omarion hampton
24,Ashton Jeanty,RB,LV,,,,ffc,half_ppr,23.8,5.9,257.0,2026-08-30T00:01:21.009649+00:00,ashton jeanty
25,Zay Flowers,WR,BAL,,,,ffc,half_ppr,24.6,2.5,108.0,2026-08-30T00:01:21.009649+00:00,zay flowers
26,Malik Nabers,WR,NYG,,,,ffc,half_ppr,25.7,3.5,387.0,2026-08-30T00:01:21.009649+00:00,malik nabers
27,Josh Jacobs,RB,GB,,,,ffc,half_ppr,26.3,3.5,131.0,2026-08-30T00:01:21.009649+00:00,joshua jacobs
28,Kyren Williams,RB,LAR,,,,ffc,half_ppr,27.7,3.1,279.0,2026-08-30T00:01:21.009649+00:00,kyren williams
29,Jeremiyah Love,RB,ARI,,,,ffc,half_ppr,29.9,3.4,190.0,2026-08-30T00:01:21.009649+00:00,jeremiyah love
30,Tetairoa McMillan,WR,CAR,,,,ffc,half_ppr,30.4,5.0,139.0,2026-08-30T00:01:21.009649+00:00,tetairoa mcmillan
31,DeVonta Smith,WR,PHI,,,,ffc,half_ppr,31.0,3.5,458.0,2026-08-30T00:01:21.009649+00:00,devonta smith
32,Garrett Wilson,WR,NYJ,,,,ffc,half_ppr,31.4,4.4,174.0,2026-08-30T00:01:21.009649+00:00,garrett wilson
33,Breece Hall,RB,NYJ,,,,ffc,half_ppr,33.0,3.7,228.0,2026-08-30T00:01:21.009649+00:00,breece hall
34,Josh Allen,QB,BUF,,,,ffc,half_ppr,33.2,7.8,374.0,2026-08-30T00:01:21.009649+00:00,joshua allen
35,Javonte Williams,RB,DAL,,,,ffc,half_ppr,33.7,3.9,534.0,2026-08-30T00:01:21.009649+00:00,javonte williams
36,Emeka Egbuka,WR,TB,,,,ffc,half_ppr,33.9,4.0,358.0,2026-08-30T00:01:21.009649+00:00,emeka egbuka
37,Tee Higgins,WR,CIN,,,,ffc,half_ppr,36.1,4.0,242.0,2026-08-30T00:01:21.009649+00:00,tee higgins
38,Travis Etienne Jr.,RB,NO,,,,ffc,half_ppr,37.0,4.6,262.0,2026-08-30T00:01:21.009649+00:00,travis etienne
39,Davante Adams,WR,LAR,,,,ffc,half_ppr,37.5,4.4,205.0,2026-08-30T00:01:21.009649+00:00,davante adams
40,Trey McBride,TE,ARI,,,,ffc,half_ppr,38.3,7.1,341.0,2026-08-30T00:01:21.009649+00:00,trey mcbride
41,Cam Skattebo,RB,NYG,,,,ffc,half_ppr,38.9,4.9,135.0,2026-08-30T00:01:21.009649+00:00,cameron skattebo
42,Jameson Williams,WR,DET,,,,ffc,half_ppr,39.4,5.5,118.0,2026-08-30T00:01:21.009649+00:00,jameson williams
43,Ladd McConkey,WR,LAC,,,,ffc,half_ppr,40.8,4.6,633.0,2026-08-30T00:01:21.009649+00:00,ladd mcconkey
44,D'Andre Swift,RB,CHI,,,,ffc,half_ppr,43.1,4.8,394.0,2026-08-30T00:01:21.009649+00:00,dandre swift
45,Brock Bowers,TE,LV,,,,ffc,half_ppr,43.2,9.1,747.0,2026-08-30T00:01:21.009649+00:00,brock bowers
46,DJ Moore,WR,BUF,,,,ffc,half_ppr,45.8,5.7,533.0,2026-08-30T00:01:21.009649+00:00,dj moore
