adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,DET,,,,ffc,half_ppr,1.5,0.7,579.0,2026-08-30T22:19:27.860292+00:00,jahmyr gibbs
2,Bijan Robinson,RB,ATL,,,,ffc,half_ppr,2.3,0.6,260.0,2026-08-30T22:19:27.860292+00:00,bijan robinson
3,Puka Nacua,WR,LAR,,,,ffc,half_ppr,2.9,0.7,60.0,2026-08-30T22:19:27.860292+00:00,puka nacua
4,Ja'Marr Chase,WR,CIN,,,,ffc,half_ppr,4.0,1.0,491.0,2026-08-30T22:19:27.860292+00:00,jamarr chase
5,Jaxon Smith-Njigba,WR,SEA,,,,ffc,half_ppr,5.1,1.3,250.0,2026-08-30T22:19:27.860292+00:00,jaxon smithnjigba
6,Jonathan Taylor,RB,IND,,,,ffc,half_ppr,5.9,1.6,480.0,2026-08-30T22:19:27.860292+00:00,jonathan taylor
7,Christian McCaffrey,RB,SF,,,,ffc,half_ppr,6.9,1.9,427.0,2026-08-30T22:19:27.860292+00:00,christian mccaffrey
8,Amon-Ra St. Brown,WR,DET,,,,ffc,half_ppr,7.7,1.6,337.0,2026-08-30T22:19:27.860292+00:00,amonra st brown
9,James Cook III,RB,BUF,,,,ffc,half_ppr,9.3,1.7,623.0,2026-08-30T22:19:27.860292+00:00,james cook
10,Derrick Henry,RB,BAL,,,,ffc,half_ppr,9.8,1.4,196.0,2026-08-30T22:19:27.860292+00:00,derrick henry
11,De'Von Achane,RB,MIA,,,,ffc,half_ppr,11.5,1.6,174.0,2026-08-30T22:19:27.860292+00:00,devon achane
12,CeeDee Lamb,WR,DAL,,,,ffc,half_ppr,12.5,2.2,313.0,2026-08-30T22:19:27.860292+00:00,ceedee lamb
13,Drake London,WR,ATL,,,,ffc,half_ppr,12.5,1.7,80.0,2026-08-30T22:19:27.860292+00:00,drake london
14,Justin Jefferson,WR,MIN,,,,ffc,half_ppr,13.9,2.5,348.0,2026-08-30T22:19:27.860292+00:00,justin jefferson
15,Chase Brown,RB,CIN,,,,ffc,half_ppr,14.7,2.6,660.0,2026-08-30T22:19:27.860292+00:00,chase brown
16,Rashee Rice,WR,KC,,,,ffc,half_ppr,16.6,3.1,59.0,2026-08-30T22:19:27.860292+00:00,rashee rice
17,Saquon Barkley,RB,PHI,,,,ffc,half_ppr,17.1,3.2,807.0,2026-08-30T22:19:27.860292+00:00,saquon barkley
18,A.J. Brown,WR,NE,,,,ffc,half_ppr,18.0,2.7,363.0,2026-08-30T22:19:27.860292+00:00,aj brown
19,George Pickens,WR,DAL,,,,ffc,half_ppr,19.1,2.2,118.0,2026-08-30T22:19:27.860292+00:00,george pickens
20,Kenneth Walker,RB,KC,,,,ffc,half_ppr,20.4,3.8,754.0,2026-08-30T22:19:27.860292+00:00,kenneth walker
21,Nico Collins,WR,HOU,,,,ffc,half_ppr,21.1,3.2,209.0,2026-08-30T22:19:27.860292+00:00,nico collins
22,Chris Olave,WR,NO,,,,ffc,half_ppr,22.3,4.1,147.0,2026-08-30T22:19:27.860292+00:00,christopher olave
23,Omarion Hampton,RB,LAC,,,,ffc,half_ppr,23.3,4.2,674.0,2026-08-30T22:19:27.860292+00:00,omarion hampton
24,Ashton Jeanty,RB,LV,,,,ffc,half_ppr,24.3,5.0,280.0,2026-08-30T22:19:27.860292+00:00,ashton jeanty
25,Zay Flowers,WR,BAL,,,,ffc,half_ppr,24.5,2.5,105.0,2026-08-30T22:19:27.860292+00:00,zay flowers
26,Malik Nabers,WR,NYG,,,,ffc,half_ppr,25.5,3.4,390.0,2026-08-30T22:19:27.860292+00:00,malik nabers
27,Josh Jacobs,RB,GB,,,,ffc,half_ppr,26.9,3.5,118.0,2026-08-30T22:19:27.860292+00:00,joshua jacobs
28,Kyren Williams,RB,LAR,,,,ffc,half_ppr,27.7,3.0,304.0,2026-08-30T22:19:27.860292+00:00,kyren williams
29,Tetairoa McMillan,WR,CAR,,,,ffc,half_ppr,30.0,4.7,139.0,2026-08-30T22:19:27.860292+00:00,tetairoa mcmillan
30,Jeremiyah Love,RB,ARI,,,,ffc,half_ppr,30.2,3.3,188.0,2026-08-30T22:19:27.860292+00:00,jeremiyah love
31,DeVonta Smith,WR,PHI,,,,ffc,half_ppr,31.0,3.4,447.0,2026-08-30T22:19:27.860292+00:00,devonta smith
32,Garrett Wilson,WR,NYJ,,,,ffc,half_ppr,31.2,4.2,189.0,2026-08-30T22:19:27.860292+00:00,garrett wilson
33,Breece Hall,RB,NYJ,,,,ffc,half_ppr,33.1,3.7,209.0,2026-08-30T22:19:27.860292+00:00,breece hall
34,Josh Allen,QB,BUF,,,,ffc,half_ppr,33.3,7.6,378.0,2026-08-30T22:19:27.860292+00:00,joshua allen
35,Javonte Williams,RB,DAL,,,,ffc,half_ppr,33.8,4.1,531.0,2026-08-30T22:19:27.860292+00:00,javonte williams
36,Emeka Egbuka,WR,TB,,,,ffc,half_ppr,33.9,4.1,352.0,2026-08-30T22:19:27.860292+00:00,emeka egbuka
37,Tee Higgins,WR,CIN,,,,ffc,half_ppr,35.8,3.9,229.0,2026-08-30T22:19:27.860292+00:00,tee higgins
38,Travis Etienne Jr.,RB,NO,,,,ffc,half_ppr,37.0,4.7,257.0,2026-08-30T22:19:27.860292+00:00,travis etienne
39,Davante Adams,WR,LAR,,,,ffc,half_ppr,37.2,4.5,219.0,2026-08-30T22:19:27.860292+00:00,davante adams
40,Trey McBride,TE,ARI,,,,ffc,half_ppr,38.4,6.9,327.0,2026-08-30T22:19:27.860292+00:00,trey mcbride
41,Cam Skattebo,RB,NYG,,,,ffc,half_ppr,39.7,5.0,138.0,2026-08-30T22:19:27.860292+00:00,cameron skattebo
42,Jameson Williams,WR,DET,,,,ffc,half_ppr,39.9,5.2,118.0,2026-08-30T22:19:27.860292+00:00,jameson williams
43,Ladd McConkey,WR,LAC,,,,ffc,half_ppr,40.7,4.6,615.0,2026-08-30T22:19:27.860292+00:00,ladd mcconkey
44,Brock Bowers,TE,LV,,,,ffc,half_ppr,42.9,9.1,736.0,2026-08-30T22:19:27.860292+00:00,brock bowers
45,D'Andre Swift,RB,CHI,,,,ffc,half_ppr,43.4,5.0,379.0,2026-08-30T22:19:27.860292+00:00,dandre swift
46,Terry McLaurin,WR,WAS,,,,ffc,half_ppr,45.9,5.5,198.0,2026-08-30T22:19:27.860292+00:00,terry mclaurin
47,DJ Moore,WR,BUF,,,,ffc,half_ppr,46.3,5.8,536.0,2026-08-30T22:19:27.860292+00:00,dj moore
48,Jaylen Waddle,WR,DEN,,,,ffc,half_ppr,47.5,6.6,659.0,2026-08-30T22:19:27.860292+00:00,jaylen waddle
49,Bucky Irving,RB,TB,,,,ffc,half_ppr,47.7,5.1,147.0,2026-08-30T22:19:27.860292+00:00,bucky irving
50,Rome Odunze,WR,CHI,,,,ffc,half_ppr,50.0,6.2,246.0,2026-08-30T22:19:27.860292+00:00,rome odunze
51,Drake Maye,QB,NE,,,,ffc,half_ppr,51.3,9.3,170.0,2026-08-30T22:19:27.860292+00:00,drake maye
52,Quinshon Judkins,RB,CLE,,,,ffc,half_ppr,51.4,5.2,234.0,2026-08-30T22:19:27.860292+00:00,quinshon judkins
53,Bhayshul Tuten,RB,JAX,,,,ffc,half_ppr,53.0,6.3,287.0,2026-08-30T22:19:27.860292+00:00,bhayshul tuten
54,Mike Evans,WR,SF,,,,ffc,half_ppr,53.6,5.3,197.0,2026-08-30T22:19:27.860292+00:00,michael evans
55,Lamar Jackson,QB,BAL,,,,ffc,half_ppr,55.7,8.4,202.0,2026-08-30T22:19:27.860292+00:00,lamar jackson
56,Christian Watson,WR,GB,,,,ffc,half_ppr,55.9,6.1,345.0,2026-08-30T22:19:27.860292+00:00,christian watson
57,David Montgomery,RB,HOU,,,,ffc,half_ppr,56.4,5.4,406.0,2026-08-30T22:19:27.860292+00:00,david montgomery
58,Luther Burden III,WR,CHI,,,,ffc,half_ppr,57.4,6.1,390.0,2026-08-30T22:19:27.860292+00:00,luther burden
59,Joe Burrow,QB,CIN,,,,ffc,half_ppr,57.4,8.0,124.0,2026-08-30T22:19:27.860292+00:00,joseph burrow
60,Courtland Sutton,WR,DEN,,,,ffc,half_ppr,60.3,7.1,159.0,2026-08-30T22:19:27.860292+00:00,courtland sutton
61,Colston Loveland,TE,CHI,,,,ffc,half_ppr,60.8,8.9,562.0,2026-08-30T22:19:27.860292+00:00,colston loveland
62,TreVeyon Henderson,RB,NE,,,,ffc,half_ppr,62.6,6.7,140.0,2026-08-30T22:19:27.860292+00:00,treveyon henderson
63,Alec Pierce,WR,IND,,,,ffc,half_ppr,62.7,7.3,147.0,2026-08-30T22:19:27.860292+00:00,alec pierce
64,Rhamondre Stevenson,RB,NE,,,,ffc,half_ppr,62.8,5.6,113.0,2026-08-30T22:19:27.860292+00:00,rhamondre stevenson
65,Jaylen Warren,RB,PIT,,,,ffc,half_ppr,63.7,4.8,89.0,2026-08-30T22:19:27.860292+00:00,jaylen warren
66,Dak Prescott,QB,DAL,,,,ffc,half_ppr,64.0,7.6,124.0,2026-08-30T22:19:27.860292+00:00,dak prescott
67,DK Metcalf,WR,PIT,,,,ffc,half_ppr,64.6,7.0,268.0,2026-08-30T22:19:27.860292+00:00,dk metcalf
68,Parker Washington,WR,JAX,,,,ffc,half_ppr,64.9,7.2,703.0,2026-08-30T22:19:27.860292+00:00,parker washington
69,Tony Pollard,RB,TEN,,,,ffc,half_ppr,66.8,5.4,84.0,2026-08-30T22:19:27.860292+00:00,anthony pollard
70,Marvin Harrison Jr.,WR,ARI,,,,ffc,half_ppr,66.8,7.7,339.0,2026-08-30T22:19:27.860292+00:00,marvin harrison
71,Brian Thomas Jr.,WR,JAX,,,,ffc,half_ppr,70.9,7.6,254.0,2026-08-30T22:19:27.860292+00:00,brian thomas
72,Tyler Warren,TE,IND,,,,ffc,half_ppr,71.6,9.5,291.0,2026-08-30T22:19:27.860292+00:00,tyler warren
73,Jayden Daniels,QB,WAS,,,,ffc,half_ppr,72.2,13.1,131.0,2026-08-30T22:19:27.860292+00:00,jayden daniels
74,Matthew Stafford,QB,LAR,,,,ffc,half_ppr,73.0,14.3,120.0,2026-08-30T22:19:27.860292+00:00,matthew stafford
75,Jadarian Price,RB,SEA,,,,ffc,half_ppr,73.1,9.9,886.0,2026-08-30T22:19:27.860292+00:00,jadarian price
76,Michael Wilson,WR,ARI,,,,ffc,half_ppr,74.6,7.6,236.0,2026-08-30T22:19:27.860292+00:00,michael wilson
77,Rico Dowdle,RB,PIT,,,,ffc,half_ppr,75.3,6.4,105.0,2026-08-30T22:19:27.860292+00:00,rico dowdle
78,Carnell Tate,WR,TEN,,,,ffc,half_ppr,76.0,7.3,336.0,2026-08-30T22:19:27.860292+00:00,carnell tate
79,Chris Godwin Jr.,WR,TB,,,,ffc,half_ppr,76.6,8.2,453.0,2026-08-30T22:19:27.860292+00:00,christopher godwin
80,J.K. Dobbins,RB,DEN,,,,ffc,half_ppr,78.4,8.6,168.0,2026-08-30T22:19:27.860292+00:00,jk dobbins
81,Jalen Hurts,QB,PHI,,,,ffc,half_ppr,80.4,12.8,254.0,2026-08-30T22:19:27.860292+00:00,jalen hurts
82,Seattle Defense,DST,SEA,,,,ffc,half_ppr,80.5,7.6,94.0,2026-08-30T22:19:27.860292+00:00,seattle defense
83,Michael Pittman Jr.,WR,PIT,,,,ffc,half_ppr,81.1,7.5,315.0,2026-08-30T22:19:27.860292+00:00,michael pittman
84,Harold Fannin Jr.,TE,CLE,,,,ffc,half_ppr,81.5,10.9,37.0,2026-08-30T22:19:27.860292+00:00,harold fannin
85,Jordan Addison,WR,MIN,,,,ffc,half_ppr,85.8,9.4,187.0,2026-08-30T22:19:27.860292+00:00,jordan addison
86,Chuba Hubbard,RB,CAR,,,,ffc,half_ppr,86.6,9.2,88.0,2026-08-30T22:19:27.860292+00:00,chuba hubbard
87,Brock Purdy,QB,SF,,,,ffc,half_ppr,86.9,13.9,93.0,2026-08-30T22:19:27.860292+00:00,brock purdy
88,Jakobi Meyers,WR,JAX,,,,ffc,half_ppr,87.4,6.9,128.0,2026-08-30T22:19:27.860292+00:00,jakobi meyers
89,Quentin Johnston,WR,LAC,,,,ffc,half_ppr,87.5,8.5,327.0,2026-08-30T22:19:27.860292+00:00,quentin johnston
90,Kyle Pitts Sr.,TE,ATL,,,,ffc,half_ppr,87.6,12.2,79.0,2026-08-30T22:19:27.860292+00:00,kyle pitts
91,Jayden Reed,WR,GB,,,,ffc,half_ppr,88.2,9.6,145.0,2026-08-30T22:19:27.860292+00:00,jayden reed
92,Trevor Lawrence,QB,JAX,,,,ffc,half_ppr,90.1,12.7,338.0,2026-08-30T22:19:27.860292+00:00,trevor lawrence
93,Jonathon Brooks,RB,CAR,,,,ffc,half_ppr,90.5,10.3,628.0,2026-08-30T22:19:27.860292+00:00,jonathon brooks
94,Caleb Williams,QB,CHI,,,,ffc,half_ppr,92.1,12.3,382.0,2026-08-30T22:19:27.860292+00:00,caleb williams
95,Wan'Dale Robinson,WR,TEN,,,,ffc,half_ppr,93.2,9.0,200.0,2026-08-30T22:19:27.860292+00:00,wandale robinson
96,Josh Downs,WR,IND,,,,ffc,half_ppr,94.1,10.5,253.0,2026-08-30T22:19:27.860292+00:00,joshua downs
97,Stefon Diggs,WR,WAS,,,,ffc,half_ppr,94.4,9.7,284.0,2026-08-30T22:19:27.860292+00:00,stefon diggs
98,Denver Defense,DST,DEN,,,,ffc,half_ppr,94.6,9.1,125.0,2026-08-30T22:19:27.860292+00:00,denver defense
99,Tucker Kraft,TE,GB,,,,ffc,half_ppr,95.4,15.6,218.0,2026-08-30T22:19:27.860292+00:00,tucker kraft
100,Dallas Goedert,TE,PHI,,,,ffc,half_ppr,96.4,21.6,88.0,2026-08-30T22:19:27.860292+00:00,dallas goedert
101,Houston Defense,DST,HOU,,,,ffc,half_ppr,98.3,10.3,235.0,2026-08-30T22:19:27.860292+00:00,houston defense
102,George Kittle,TE,SF,,,,ffc,half_ppr,98.4,18.4,178.0,2026-08-30T22:19:27.860292+00:00,george kittle
103,Jared Goff,QB,DET,,,,ffc,half_ppr,99.4,13.4,131.0,2026-08-30T22:19:27.860292+00:00,jared goff
104,Xavier Worthy,WR,KC,,,,ffc,half_ppr,100.2,10.0,138.0,2026-08-30T22:19:27.860292+00:00,xavier worthy
105,Kenny Gainwell,RB,TB,,,,ffc,half_ppr,100.5,13.1,172.0,2026-08-30T22:19:27.860292+00:00,kenneth gainwell
106,Kyle Monangai,RB,CHI,,,,ffc,half_ppr,101.7,13.1,134.0,2026-08-30T22:19:27.860292+00:00,kyle monangai
107,Matthew Golden,WR,GB,,,,ffc,half_ppr,102.1,9.8,254.0,2026-08-30T22:19:27.860292+00:00,matthew golden
108,Deebo Samuel Sr.,WR,SF,,,,ffc,half_ppr,102.3,11.5,112.0,2026-08-30T22:19:27.860292+00:00,deebo samuel
109,Jacory Croskey-Merritt,RB,WAS,,,,ffc,half_ppr,103.0,13.0,281.0,2026-08-30T22:19:27.860292+00:00,jacory croskeymerritt
110,Patrick Mahomes,QB,KC,,,,ffc,half_ppr,103.6,13.9,215.0,2026-08-30T22:19:27.860292+00:00,patrick mahomes
111,RJ Harvey,RB,DEN,,,,ffc,half_ppr,104.1,14.2,185.0,2026-08-30T22:19:27.860292+00:00,rj harvey
112,Romeo Doubs,WR,NE,,,,ffc,half_ppr,105.2,8.8,128.0,2026-08-30T22:19:27.860292+00:00,romeo doubs
113,Minnesota Defense,DST,MIN,,,,ffc,half_ppr,106.4,9.7,41.0,2026-08-30T22:19:27.860292+00:00,minnesota defense
114,Justin Herbert,QB,LAC,,,,ffc,half_ppr,108.1,13.1,478.0,2026-08-30T22:19:27.860292+00:00,justin herbert
115,Khalil Shakir,WR,BUF,,,,ffc,half_ppr,110.1,9.3,79.0,2026-08-30T22:19:27.860292+00:00,khalil shakir
116,Aaron Jones Sr.,RB,MIN,,,,ffc,half_ppr,111.6,13.8,141.0,2026-08-30T22:19:27.860292+00:00,aaron jones
117,LA Rams Defense,DST,LAR,,,,ffc,half_ppr,113.1,11.0,219.0,2026-08-30T22:19:27.860292+00:00,la rams defense
118,Jordan Mason,RB,MIN,,,,ffc,half_ppr,113.8,14.0,476.0,2026-08-30T22:19:27.860292+00:00,jordan mason
119,Bo Nix,QB,DEN,,,,ffc,half_ppr,114.2,11.7,255.0,2026-08-30T22:19:27.860292+00:00,bo nix
120,KC Concepcion,WR,CLE,,,,ffc,half_ppr,117.3,11.5,311.0,2026-08-30T22:19:27.860292+00:00,kc concepcion
121,Jalen Coker,WR,CAR,,,,ffc,half_ppr,117.8,8.1,113.0,2026-08-30T22:19:27.860292+00:00,jalen coker
122,Jaxson Dart,QB,NYG,,,,ffc,half_ppr,118.3,17.3,140.0,2026-08-30T22:19:27.860292+00:00,jaxson dart
123,Rashid Shaheed,WR,SEA,,,,ffc,half_ppr,118.6,11.6,127.0,2026-08-30T22:19:27.860292+00:00,rashid shaheed
124,Makai Lemon,WR,PHI,,,,ffc,half_ppr,119.2,14.4,212.0,2026-08-30T22:19:27.860292+00:00,makai lemon
125,Rachaad White,RB,WAS,,,,ffc,half_ppr,119.4,14.9,116.0,2026-08-30T22:19:27.860292+00:00,rachaad white
126,Blake Corum,RB,LAR,,,,ffc,half_ppr,120.7,15.8,475.0,2026-08-30T22:19:27.860292+00:00,blake corum
127,Travis Kelce,TE,KC,,,,ffc,half_ppr,121.5,18.4,138.0,2026-08-30T22:19:27.860292+00:00,travis kelce
128,Jerry Jeudy,WR,CLE,,,,ffc,half_ppr,123.3,10.2,80.0,2026-08-30T22:19:27.860292+00:00,jerry jeudy
129,Sam LaPorta,TE,DET,,,,ffc,half_ppr,124.0,19.2,345.0,2026-08-30T22:19:27.860292+00:00,samuel laporta
130,Mark Andrews,TE,BAL,,,,ffc,half_ppr,125.5,20.0,77.0,2026-08-30T22:19:27.860292+00:00,mark andrews
131,De'Zhaun Stribling,WR,SF,,,,ffc,half_ppr,127.6,14.9,595.0,2026-08-30T22:19:27.860292+00:00,dezhaun stribling
132,Detroit Defense,DST,DET,,,,ffc,half_ppr,128.7,12.2,29.0,2026-08-30T22:19:27.860292+00:00,detroit defense
133,Tre Tucker,WR,LV,,,,ffc,half_ppr,129.2,11.0,106.0,2026-08-30T22:19:27.860292+00:00,tre tucker
