adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Bijan Robinson,RB,ATL,,,,ffc,ppr,1.7,0.8,261.0,2026-07-18T22:47:56.172763+00:00,bijan robinson
2,Jahmyr Gibbs,RB,DET,,,,ffc,ppr,1.9,0.7,223.0,2026-07-18T22:47:56.172763+00:00,jahmyr gibbs
3,Puka Nacua,WR,LAR,,,,ffc,ppr,2.7,0.7,63.0,2026-07-18T22:47:56.172763+00:00,puka nacua
4,Ja'Marr Chase,WR,CIN,,,,ffc,ppr,3.9,1.1,437.0,2026-07-18T22:47:56.172763+00:00,jamarr chase
5,Christian McCaffrey,RB,SF,,,,ffc,ppr,4.9,1.2,190.0,2026-07-18T22:47:56.172763+00:00,christian mccaffrey
6,Jaxon Smith-Njigba,WR,SEA,,,,ffc,ppr,6.0,1.2,216.0,2026-07-18T22:47:56.172763+00:00,jaxon smithnjigba
7,Amon-Ra St. Brown,WR,DET,,,,ffc,ppr,7.3,1.3,181.0,2026-07-18T22:47:56.172763+00:00,amonra st brown
8,Jonathan Taylor,RB,IND,,,,ffc,ppr,7.7,1.8,207.0,2026-07-18T22:47:56.172763+00:00,jonathan taylor
9,De'Von Achane,RB,MIA,,,,ffc,ppr,9.7,1.5,138.0,2026-07-18T22:47:56.172763+00:00,devon achane
10,Justin Jefferson,WR,MIN,,,,ffc,ppr,10.3,1.6,181.0,2026-07-18T22:47:56.172763+00:00,justin jefferson
11,CeeDee Lamb,WR,DAL,,,,ffc,ppr,10.6,1.9,256.0,2026-07-18T22:47:56.172763+00:00,ceedee lamb
12,Ashton Jeanty,RB,LV,,,,ffc,ppr,12.0,2.5,228.0,2026-07-18T22:47:56.172763+00:00,ashton jeanty
13,Drake London,WR,ATL,,,,ffc,ppr,12.8,1.3,86.0,2026-07-18T22:47:56.172763+00:00,drake london
14,James Cook III,RB,BUF,,,,ffc,ppr,13.5,2.9,406.0,2026-07-18T22:47:56.172763+00:00,james cook
15,A.J. Brown,WR,NE,,,,ffc,ppr,14.0,2.4,157.0,2026-07-18T22:47:56.172763+00:00,aj brown
16,Derrick Henry,RB,BAL,,,,ffc,ppr,15.9,2.5,145.0,2026-07-18T22:47:56.172763+00:00,derrick henry
17,Omarion Hampton,RB,LAC,,,,ffc,ppr,16.1,4.5,388.0,2026-07-18T22:47:56.172763+00:00,omarion hampton
18,Chase Brown,RB,CIN,,,,ffc,ppr,16.2,2.7,265.0,2026-07-18T22:47:56.172763+00:00,chase brown
19,George Pickens,WR,DAL,,,,ffc,ppr,18.4,2.6,121.0,2026-07-18T22:47:56.172763+00:00,george pickens
20,Saquon Barkley,RB,PHI,,,,ffc,ppr,19.7,3.1,406.0,2026-07-18T22:47:56.172763+00:00,saquon barkley
21,Chris Olave,WR,NO,,,,ffc,ppr,20.7,2.6,78.0,2026-07-18T22:47:56.172763+00:00,christopher olave
22,Kenneth Walker III,RB,KC,,,,ffc,ppr,22.5,2.5,276.0,2026-07-18T22:47:56.172763+00:00,kenneth walker
23,Jeremiyah Love,RB,ARI,,,,ffc,ppr,22.5,3.1,108.0,2026-07-18T22:47:56.172763+00:00,jeremiyah love
24,Nico Collins,WR,HOU,,,,ffc,ppr,23.2,2.9,277.0,2026-07-18T22:47:56.172763+00:00,nico collins
25,Zay Flowers,WR,BAL,,,,ffc,ppr,25.0,2.3,50.0,2026-07-18T22:47:56.172763+00:00,zay flowers
26,Rashee Rice,WR,KC,,,,ffc,ppr,27.1,3.7,250.0,2026-07-18T22:47:56.172763+00:00,rashee rice
27,Tee Higgins,WR,CIN,,,,ffc,ppr,27.1,2.9,56.0,2026-07-18T22:47:56.172763+00:00,tee higgins
28,Garrett Wilson,WR,NYJ,,,,ffc,ppr,27.2,2.8,79.0,2026-07-18T22:47:56.172763+00:00,garrett wilson
29,Josh Allen,QB,BUF,,,,ffc,ppr,28.6,7.4,238.0,2026-07-18T22:47:56.172763+00:00,joshua allen
30,DeVonta Smith,WR,PHI,,,,ffc,ppr,28.7,3.0,173.0,2026-07-18T22:47:56.172763+00:00,devonta smith
31,Trey McBride,TE,ARI,,,,ffc,ppr,28.9,4.6,213.0,2026-07-18T22:47:56.172763+00:00,trey mcbride
32,Josh Jacobs,RB,GB,,,,ffc,ppr,28.9,3.3,156.0,2026-07-18T22:47:56.172763+00:00,joshua jacobs
33,Breece Hall,RB,NYJ,,,,ffc,ppr,30.4,4.0,121.0,2026-07-18T22:47:56.172763+00:00,breece hall
34,Kyren Williams,RB,LAR,,,,ffc,ppr,32.5,4.4,263.0,2026-07-18T22:47:56.172763+00:00,kyren williams
35,Tetairoa McMillan,WR,CAR,,,,ffc,ppr,33.0,3.9,160.0,2026-07-18T22:47:56.172763+00:00,tetairoa mcmillan
36,Javonte Williams,RB,DAL,,,,ffc,ppr,35.3,4.1,196.0,2026-07-18T22:47:56.172763+00:00,javonte williams
37,Brock Bowers,TE,LV,,,,ffc,ppr,36.0,6.1,436.0,2026-07-18T22:47:56.172763+00:00,brock bowers
38,Ladd McConkey,WR,LAC,,,,ffc,ppr,36.3,4.7,251.0,2026-07-18T22:47:56.172763+00:00,ladd mcconkey
39,Terry McLaurin,WR,WAS,,,,ffc,ppr,36.6,3.7,123.0,2026-07-18T22:47:56.172763+00:00,terry mclaurin
40,Cam Skattebo,RB,NYG,,,,ffc,ppr,37.7,4.6,162.0,2026-07-18T22:47:56.172763+00:00,cameron skattebo
41,Travis Etienne Jr.,RB,NO,,,,ffc,ppr,38.5,6.6,178.0,2026-07-18T22:47:56.172763+00:00,travis etienne
42,Davante Adams,WR,LAR,,,,ffc,ppr,40.3,4.5,118.0,2026-07-18T22:47:56.172763+00:00,davante adams
