adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Bijan Robinson,RB,ATL,,,,sleeper,half_ppr,1.5,,,2026-07-19T04:32:50.961449+00:00,bijan robinson
2,Jahmyr Gibbs,RB,DET,,,,sleeper,half_ppr,2.9,,,2026-07-19T04:32:50.961449+00:00,jahmyr gibbs
3,Ja'Marr Chase,WR,CIN,,,,sleeper,half_ppr,3.7,,,2026-07-19T04:32:50.961449+00:00,jamarr chase
4,Puka Nacua,WR,LAR,,,,sleeper,half_ppr,4.8,,,2026-07-19T04:32:50.961449+00:00,puka nacua
5,Christian McCaffrey,RB,SF,,,,sleeper,half_ppr,5.7,,,2026-07-19T04:32:50.961449+00:00,christian mccaffrey
6,Jonathan Taylor,RB,IND,,,,sleeper,half_ppr,6.4,,,2026-07-19T04:32:50.961449+00:00,jonathan taylor
7,Jaxon Smith-Njigba,WR,SEA,,,,sleeper,half_ppr,7.3,,,2026-07-19T04:32:50.961449+00:00,jaxon smithnjigba
8,James Cook,RB,BUF,,,,sleeper,half_ppr,8.2,,,2026-07-19T04:32:50.961449+00:00,james cook
9,Amon-Ra St. Brown,WR,DET,,,,sleeper,half_ppr,8.6,,,2026-07-19T04:32:50.961449+00:00,amonra st brown
10,CeeDee Lamb,WR,DAL,,,,sleeper,half_ppr,10.3,,,2026-07-19T04:32:50.961449+00:00,ceedee lamb
11,Ashton Jeanty,RB,LV,,,,sleeper,half_ppr,11.9,,,2026-07-19T04:32:50.961449+00:00,ashton jeanty
12,Justin Jefferson,WR,MIN,,,,sleeper,half_ppr,12.4,,,2026-07-19T04:32:50.961449+00:00,justin jefferson
13,De'Von Achane,RB,MIA,,,,sleeper,half_ppr,13.6,,,2026-07-19T04:32:50.961449+00:00,devon achane
14,Omarion Hampton,RB,LAC,,,,sleeper,half_ppr,14.7,,,2026-07-19T04:32:50.961449+00:00,omarion hampton
15,Saquon Barkley,RB,PHI,,,,sleeper,half_ppr,15.4,,,2026-07-19T04:32:50.961449+00:00,saquon barkley
16,Kenneth Walker,RB,KC,,,,sleeper,half_ppr,16.8,,,2026-07-19T04:32:50.961449+00:00,kenneth walker
17,Jeremiyah Love,RB,ARI,,,,sleeper,half_ppr,17.1,,,2026-07-19T04:32:50.961449+00:00,jeremiyah love
18,Drake London,WR,ATL,,,,sleeper,half_ppr,17.6,,,2026-07-19T04:32:50.961449+00:00,drake london
19,Chase Brown,RB,CIN,,,,sleeper,half_ppr,19.1,,,2026-07-19T04:32:50.961449+00:00,chase brown
