adp_rank,player_name,position,team,sleeper_id,age,years_exp,source,scoring_format,adp,stdev,times_drafted,fetched_at,name_key
1,Jahmyr Gibbs,RB,DET,,,,sleeper,half_ppr,1.9,,,2026-09-06T16:17:37.033843+00:00,jahmyr gibbs
2,Bijan Robinson,RB,ATL,,,,sleeper,half_ppr,2.4,,,2026-09-06T16:17:37.033843+00:00,bijan robinson
3,Ja'Marr Chase,WR,CIN,,,,sleeper,half_ppr,3.2,,,2026-09-06T16:17:37.033843+00:00,jamarr chase
4,Christian McCaffrey,RB,SF,,,,sleeper,half_ppr,4.8,,,2026-09-06T16:17:37.033843+00:00,christian mccaffrey
5,Jonathan Taylor,RB,IND,,,,sleeper,half_ppr,5.3,,,2026-09-06T16:17:37.033843+00:00,jonathan taylor
6,Puka Nacua,WR,LAR,,,,sleeper,half_ppr,6.1,,,2026-09-06T16:17:37.033843+00:00,puka nacua
7,Jaxon Smith-Njigba,WR,SEA,,,,sleeper,half_ppr,7.2,,,2026-09-06T16:17:37.033843+00:00,jaxon smithnjigba
8,Amon-Ra St. Brown,WR,DET,,,,sleeper,half_ppr,7.3,,,2026-09-06T16:17:37.033843+00:00,amonra st brown
9,James Cook,RB,BUF,,,,sleeper,half_ppr,9.2,,,2026-09-06T16:17:37.033843+00:00,james cook
10,Saquon Barkley,RB,PHI,,,,sleeper,half_ppr,10.7,,,2026-09-06T16:17:37.033843+00:00,saquon barkley
11,CeeDee Lamb,WR,DAL,,,,sleeper,half_ppr,11.6,,,2026-09-06T16:17:37.033843+00:00,ceedee lamb
12,Justin Jefferson,WR,MIN,,,,sleeper,half_ppr,12.3,,,2026-09-06T16:17:37.033843+00:00,justin jefferson
13,De'Von Achane,RB,MIA,,,,sleeper,half_ppr,13.5,,,2026-09-06T16:17:37.033843+00:00,devon achane
14,Derrick Henry,RB,BAL,,,,sleeper,half_ppr,14.0,,,2026-09-06T16:17:37.033843+00:00,derrick henry
15,Ashton Jeanty,RB,LV,,,,sleeper,half_ppr,15.3,,,2026-09-06T16:17:37.033843+00:00,ashton jeanty
16,Omarion Hampton,RB,LAC,,,,sleeper,half_ppr,15.6,,,2026-09-06T16:17:37.033843+00:00,omarion hampton
17,Chase Brown,RB,CIN,,,,sleeper,half_ppr,17.4,,,2026-09-06T16:17:37.033843+00:00,chase brown
18,Kenneth Walker,RB,KC,,,,sleeper,half_ppr,18.7,,,2026-09-06T16:17:37.033843+00:00,kenneth walker
19,A.J. Brown,WR,NE,,,,sleeper,half_ppr,19.8,,,2026-09-06T16:17:37.033843+00:00,aj brown
20,Josh Allen,QB,BUF,,,,sleeper,half_ppr,20.1,,,2026-09-06T16:17:37.033843+00:00,joshua allen
21,Drake London,WR,ATL,,,,sleeper,half_ppr,21.9,,,2026-09-06T16:17:37.033843+00:00,drake london
22,Nico Collins,WR,HOU,,,,sleeper,half_ppr,22.5,,,2026-09-06T16:17:37.033843+00:00,nico collins
23,Kyren Williams,RB,LAR,,,,sleeper,half_ppr,23.3,,,2026-09-06T16:17:37.033843+00:00,kyren williams
24,Brock Bowers,TE,LV,,,,sleeper,half_ppr,23.9,,,2026-09-06T16:17:37.033843+00:00,brock bowers
25,George Pickens,WR,DAL,,,,sleeper,half_ppr,25.2,,,2026-09-06T16:17:37.033843+00:00,george pickens
26,Trey McBride,TE,ARI,,,,sleeper,half_ppr,26.2,,,2026-09-06T16:17:37.033843+00:00,trey mcbride
27,Jeremiyah Love,RB,ARI,,,,sleeper,half_ppr,27.6,,,2026-09-06T16:17:37.033843+00:00,jeremiyah love
28,Malik Nabers,WR,NYG,,,,sleeper,half_ppr,28.7,,,2026-09-06T16:17:37.033843+00:00,malik nabers
29,Rashee Rice,WR,KC,,,,sleeper,half_ppr,29.3,,,2026-09-06T16:17:37.033843+00:00,rashee rice
30,Chris Olave,WR,NO,,,,sleeper,half_ppr,30.4,,,2026-09-06T16:17:37.033843+00:00,christopher olave
31,Breece Hall,RB,NYJ,,,,sleeper,half_ppr,31.2,,,2026-09-06T16:17:37.033843+00:00,breece hall
32,Javonte Williams,RB,DAL,,,,sleeper,half_ppr,31.7,,,2026-09-06T16:17:37.033843+00:00,javonte williams
33,DeVonta Smith,WR,PHI,,,,sleeper,half_ppr,33.0,,,2026-09-06T16:17:37.033843+00:00,devonta smith
34,Lamar Jackson,QB,BAL,,,,sleeper,half_ppr,34.3,,,2026-09-06T16:17:37.033843+00:00,lamar jackson
35,Ladd McConkey,WR,LAC,,,,sleeper,half_ppr,35.1,,,2026-09-06T16:17:37.033843+00:00,ladd mcconkey
36,Tetairoa McMillan,WR,CAR,,,,sleeper,half_ppr,36.2,,,2026-09-06T16:17:37.033843+00:00,tetairoa mcmillan
37,Cam Skattebo,RB,NYG,,,,sleeper,half_ppr,37.2,,,2026-09-06T16:17:37.033843+00:00,cameron skattebo
38,Tee Higgins,WR,CIN,,,,sleeper,half_ppr,38.7,,,2026-09-06T16:17:37.033843+00:00,tee higgins
39,Zay Flowers,WR,BAL,,,,sleeper,half_ppr,39.5,,,2026-09-06T16:17:37.033843+00:00,zay flowers
40,Travis Etienne,RB,NO,,,,sleeper,half_ppr,39.9,,,2026-09-06T16:17:37.033843+00:00,travis etienne
41,Emeka Egbuka,WR,TB,,,,sleeper,half_ppr,41.9,,,2026-09-06T16:17:37.033843+00:00,emeka egbuka
42,Josh Jacobs,RB,GB,,,,sleeper,half_ppr,42.8,,,2026-09-06T16:17:37.033843+00:00,joshua jacobs
43,Colston Loveland,TE,CHI,,,,sleeper,half_ppr,43.6,,,2026-09-06T16:17:37.033843+00:00,colston loveland
44,David Montgomery,RB,HOU,,,,sleeper,half_ppr,44.4,,,2026-09-06T16:17:37.033843+00:00,david montgomery
45,Jaylen Waddle,WR,DEN,,,,sleeper,half_ppr,45.0,,,2026-09-06T16:17:37.033843+00:00,jaylen waddle
46,Garrett Wilson,WR,NYJ,,,,sleeper,half_ppr,46.0,,,2026-09-06T16:17:37.033843+00:00,garrett wilson
47,Bucky Irving,RB,TB,,,,sleeper,half_ppr,47.2,,,2026-09-06T16:17:37.033843+00:00,bucky irving
48,D'Andre Swift,RB,CHI,,,,sleeper,half_ppr,47.3,,,2026-09-06T16:17:37.033843+00:00,dandre swift
49,Quinshon Judkins,RB,CLE,,,,sleeper,half_ppr,49.8,,,2026-09-06T16:17:37.033843+00:00,quinshon judkins
50,Tyler Warren,TE,IND,,,,sleeper,half_ppr,50.2,,,2026-09-06T16:17:37.033843+00:00,tyler warren
51,Drake Maye,QB,NE,,,,sleeper,half_ppr,51.9,,,2026-09-06T16:17:37.033843+00:00,drake maye
52,DJ Moore,WR,BUF,,,,sleeper,half_ppr,52.7,,,2026-09-06T16:17:37.033843+00:00,dj moore
53,Joe Burrow,QB,CIN,,,,sleeper,half_ppr,53.2,,,2026-09-06T16:17:37.033843+00:00,joseph burrow
54,Terry McLaurin,WR,WAS,,,,sleeper,half_ppr,54.3,,,2026-09-06T16:17:37.033843+00:00,terry mclaurin
55,Davante Adams,WR,LAR,,,,sleeper,half_ppr,55.5,,,2026-09-06T16:17:37.033843+00:00,davante adams
56,Jadarian Price,RB,SEA,,,,sleeper,half_ppr,56.0,,,2026-09-06T16:17:37.033843+00:00,jadarian price
57,TreVeyon Henderson,RB,NE,,,,sleeper,half_ppr,57.3,,,2026-09-06T16:17:37.033843+00:00,treveyon henderson
58,Jameson Williams,WR,DET,,,,sleeper,half_ppr,58.4,,,2026-09-06T16:17:37.033843+00:00,jameson williams
