adp_rank,player_name,position,team,adp,high,low,stdev,times_drafted,source,scoring_format,fetched_at,name_key
1,Jahmyr Gibbs,RB,DET,1.3,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,jahmyr gibbs
2,Bijan Robinson,RB,ATL,2.0,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,bijan robinson
3,Ja'Marr Chase,WR,CIN,3.5,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,jamarr chase
4,Jonathan Taylor,RB,IND,7.0,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,jonathan taylor
5,Christian McCaffrey,RB,SF,7.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,christian mccaffrey
6,Amon-Ra St. Brown,WR,DET,9.9,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,amonra st brown
7,James Cook III,RB,BUF,11.3,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,james cook
8,Saquon Barkley,RB,PHI,13.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,saquon barkley
9,CeeDee Lamb,WR,DAL,13.4,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,ceedee lamb
10,Justin Jefferson,WR,MIN,15.4,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,justin jefferson
11,Kenneth Walker III,RB,KC,16.7,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,kenneth walker
12,Derrick Henry,RB,BAL,20.8,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,derrick henry
13,Omarion Hampton,RB,LAC,22.0,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,omarion hampton
14,Ashton Jeanty,RB,LV,22.7,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,ashton jeanty
15,Drake London,WR,ATL,24.5,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,drake london
16,Josh Allen,QB,BUF,26.2,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,joshua allen
17,George Pickens,WR,DAL,28.5,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,george pickens
18,A.J. Brown,WR,NE,29.9,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,aj brown
19,Trey McBride,TE,ARI,35.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,trey mcbride
20,DeVonta Smith,WR,PHI,36.4,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,devonta smith
21,Jeremiyah Love,RB,ARI,36.9,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,jeremiyah love
22,Malik Nabers,WR,NYG,37.0,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,malik nabers
23,Tee Higgins,WR,CIN,42.8,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,tee higgins
24,Breece Hall,RB,NYJ,43.4,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,breece hall
25,Zay Flowers,WR,BAL,44.5,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,zay flowers
26,Lamar Jackson,QB,BAL,49.0,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,lamar jackson
27,Jaylen Waddle,WR,DEN,49.2,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,jaylen waddle
28,Tetairoa McMillan,WR,CAR,53.8,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,tetairoa mcmillan
29,Cam Skattebo,RB,NYG,54.5,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,cameron skattebo
30,Ladd McConkey,WR,LAC,56.5,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,ladd mcconkey
31,D'Andre Swift,RB,CHI,57.2,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,dandre swift
32,Emeka Egbuka,WR,TB,58.3,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,emeka egbuka
33,Garrett Wilson,WR,NYJ,58.5,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,garrett wilson
34,Tyler Warren,TE,IND,58.8,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,tyler warren
35,Joe Burrow,QB,CIN,63.8,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,joseph burrow
36,David Montgomery,RB,HOU,66.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,david montgomery
37,Terry McLaurin,WR,WAS,69.8,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,terry mclaurin
38,Jalen Hurts,QB,PHI,70.5,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,jalen hurts
39,DJ Moore,WR,BUF,74.8,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,dj moore
40,Davante Adams,WR,LAR,74.9,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,davante adams
41,Josh Jacobs,RB,GB,76.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,joshua jacobs
42,Tucker Kraft,TE,GB,76.8,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,tucker kraft
43,Bhayshul Tuten,RB,JAX,78.5,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,bhayshul tuten
44,Sam LaPorta,TE,DET,80.0,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,samuel laporta
45,Jadarian Price,RB,SEA,80.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,jadarian price
46,Jameson Williams,WR,DET,82.0,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,jameson williams
47,Rome Odunze,WR,CHI,84.9,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,rome odunze
48,TreVeyon Henderson,RB,NE,87.4,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,treveyon henderson
49,Justin Herbert,QB,LAC,89.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,justin herbert
50,Harold Fannin Jr.,TE,CLE,89.3,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,harold fannin
51,Mike Evans,WR,SF,89.5,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,michael evans
52,Kyle Pitts Sr.,TE,ATL,90.7,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,kyle pitts
53,Dak Prescott,QB,DAL,92.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,dak prescott
54,Jaylen Warren,RB,PIT,94.7,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,jaylen warren
55,Rhamondre Stevenson,RB,NE,94.8,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,rhamondre stevenson
56,Marvin Harrison Jr.,WR,ARI,98.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,marvin harrison
57,George Kittle,TE,SF,101.3,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,george kittle
58,Carnell Tate,WR,TEN,102.3,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,carnell tate
59,Trevor Lawrence,QB,JAX,102.5,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,trevor lawrence
60,Brian Thomas Jr.,WR,JAX,103.8,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,brian thomas
61,DK Metcalf,WR,PIT,105.2,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,dk metcalf
62,Tony Pollard,RB,TEN,106.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,anthony pollard
63,Rico Dowdle,RB,PIT,106.9,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,rico dowdle
64,MarShawn Lloyd,RB,GB,107.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,marshawn lloyd
65,Rams,DST,LAR,107.1,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,rams
66,Brandon Aubrey,K,DAL,108.3,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,brandon aubrey
67,Jonathon Brooks,RB,CAR,110.2,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,jonathon brooks
68,Chuba Hubbard,RB,CAR,110.9,,,,,yahoo_feetball,half_ppr,2026-09-08T00:15:10.113960+00:00,chuba hubbard
