adp_rank,player_name,position,team,adp,high,low,stdev,times_drafted,source,scoring_format,fetched_at,name_key
1,Jahmyr Gibbs,RB,DET,1.3,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,jahmyr gibbs
2,Bijan Robinson,RB,ATL,2.0,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,bijan robinson
3,Ja'Marr Chase,WR,CIN,3.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,jamarr chase
4,Puka Nacua,WR,LAR,5.0,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,puka nacua
5,Jonathan Taylor,RB,IND,6.0,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,jonathan taylor
6,Christian McCaffrey,RB,SF,6.1,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,christian mccaffrey
7,Jaxon Smith-Njigba,WR,SEA,7.4,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,jaxon smithnjigba
8,Amon-Ra St. Brown,WR,DET,7.9,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,amonra st brown
9,James Cook III,RB,BUF,9.3,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,james cook
10,Saquon Barkley,RB,PHI,11.1,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,saquon barkley
11,CeeDee Lamb,WR,DAL,11.4,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,ceedee lamb
12,Justin Jefferson,WR,MIN,13.4,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,justin jefferson
13,Kenneth Walker III,RB,KC,14.7,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,kenneth walker
14,Chase Brown,RB,CIN,15.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,chase brown
15,De'Von Achane,RB,MIA,15.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,devon achane
16,Derrick Henry,RB,BAL,16.8,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,derrick henry
17,Omarion Hampton,RB,LAC,18.0,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,omarion hampton
18,Ashton Jeanty,RB,LV,18.7,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,ashton jeanty
19,Drake London,WR,ATL,20.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,drake london
20,Brock Bowers,TE,LV,20.9,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,brock bowers
21,Nico Collins,WR,HOU,21.2,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,nico collins
22,Josh Allen,QB,BUF,21.2,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,joshua allen
23,George Pickens,WR,DAL,22.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,george pickens
24,A.J. Brown,WR,NE,23.9,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,aj brown
25,Kyren Williams,RB,LAR,27.7,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,kyren williams
26,Trey McBride,TE,ARI,28.1,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,trey mcbride
27,DeVonta Smith,WR,PHI,29.4,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,devonta smith
28,Jeremiyah Love,RB,ARI,29.9,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,jeremiyah love
29,Malik Nabers,WR,NYG,30.0,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,malik nabers
30,Chris Olave,WR,NO,30.4,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,christopher olave
31,Javonte Williams,RB,DAL,32.6,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,javonte williams
32,Tee Higgins,WR,CIN,33.8,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,tee higgins
33,Breece Hall,RB,NYJ,34.4,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,breece hall
34,Zay Flowers,WR,BAL,35.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,zay flowers
35,Rashee Rice,WR,KC,36.6,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,rashee rice
36,Lamar Jackson,QB,BAL,39.0,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,lamar jackson
37,Jaylen Waddle,WR,DEN,39.2,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,jaylen waddle
38,Colston Loveland,TE,CHI,39.2,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,colston loveland
39,Travis Etienne Jr.,RB,NO,41.4,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,travis etienne
40,Tetairoa McMillan,WR,CAR,41.8,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,tetairoa mcmillan
41,Cam Skattebo,RB,NYG,42.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,cameron skattebo
42,Ladd McConkey,WR,LAC,44.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,ladd mcconkey
43,D'Andre Swift,RB,CHI,45.2,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,dandre swift
44,Emeka Egbuka,WR,TB,46.3,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,emeka egbuka
45,Garrett Wilson,WR,NYJ,46.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,garrett wilson
46,Tyler Warren,TE,IND,46.8,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,tyler warren
47,Drake Maye,QB,NE,48.0,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,drake maye
48,Joe Burrow,QB,CIN,50.8,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,joseph burrow
49,Bucky Irving,RB,TB,53.1,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,bucky irving
50,David Montgomery,RB,HOU,53.1,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,david montgomery
51,Quinshon Judkins,RB,CLE,54.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,quinshon judkins
52,Terry McLaurin,WR,WAS,54.8,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,terry mclaurin
53,Jalen Hurts,QB,PHI,55.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,jalen hurts
54,Jayden Daniels,QB,WAS,56.4,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,jayden daniels
55,Luther Burden III,WR,CHI,57.1,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,luther burden
56,DJ Moore,WR,BUF,57.8,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,dj moore
57,Davante Adams,WR,LAR,57.9,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,davante adams
58,Josh Jacobs,RB,GB,59.1,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,joshua jacobs
59,Tucker Kraft,TE,GB,59.8,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,tucker kraft
60,Bhayshul Tuten,RB,JAX,61.5,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,bhayshul tuten
61,Sam LaPorta,TE,DET,63.0,,,,,yahoo,half_ppr,2026-09-08T00:15:10.113960+00:00,samuel laporta
