season,snapshot_date,source,format,player_name,team,position,adp,high,low,stdev,times_drafted
2022,2022-09-04,ffc,half_ppr,Jonathan Taylor,IND,RB,1.3,1.0,3.0,0.6,158.0
2022,2022-09-04,ffc,half_ppr,Christian McCaffrey,SF,RB,2.5,1.0,4.0,0.8,107.0
2022,2022-09-04,ffc,half_ppr,Derrick Henry,TEN,RB,4.1,1.0,6.0,1.0,149.0
2022,2022-09-04,ffc,half_ppr,Justin Jefferson,MIN,WR,4.8,2.0,9.0,1.4,156.0
2022,2022-09-04,ffc,half_ppr,Dalvin Cook,MIN,RB,5.8,3.0,16.0,1.6,156.0
2022,2022-09-04,ffc,half_ppr,Cooper Kupp,LAR,WR,6.6,2.0,11.0,1.8,174.0
2022,2022-09-04,ffc,half_ppr,Najee Harris,PIT,RB,7.5,3.0,13.0,2.1,116.0
2022,2022-09-04,ffc,half_ppr,Ja'Marr Chase,CIN,WR,8.9,4.0,13.0,1.8,160.0
2022,2022-09-04,ffc,half_ppr,Joe Mixon,CIN,RB,9.5,5.0,17.0,2.1,148.0
2022,2022-09-04,ffc,half_ppr,D'Andre Swift,DET,RB,10.8,5.0,16.0,1.9,90.0
2022,2022-09-04,ffc,half_ppr,Alvin Kamara,NO,RB,11.1,5.0,17.0,2.1,187.0
2022,2022-09-04,ffc,half_ppr,Davante Adams,LV,WR,12.4,6.0,20.0,2.6,147.0
2022,2022-09-04,ffc,half_ppr,Stefon Diggs,BUF,WR,14.2,10.0,21.0,2.2,165.0
2022,2022-09-04,ffc,half_ppr,Nick Chubb,CLE,RB,14.6,8.0,24.0,2.2,73.0
2022,2022-09-04,ffc,half_ppr,Saquon Barkley,NYG,RB,15.4,9.0,22.0,2.8,181.0
2022,2022-09-04,ffc,half_ppr,Aaron Jones Sr.,GB,RB,16.4,9.0,25.0,2.7,175.0
2022,2022-09-04,ffc,half_ppr,Travis Kelce,KC,TE,17.2,8.0,24.0,3.3,135.0
2022,2022-09-04,ffc,half_ppr,Javonte Williams,DEN,RB,18.1,12.0,31.0,2.9,156.0
2022,2022-09-04,ffc,half_ppr,CeeDee Lamb,DAL,WR,19.2,13.0,28.0,2.9,148.0
2022,2022-09-04,ffc,half_ppr,Leonard Fournette,TB,RB,21.0,14.0,27.0,2.6,181.0
2022,2022-09-04,ffc,half_ppr,Deebo Samuel Sr.,SF,WR,21.3,14.0,28.0,2.7,94.0
2022,2022-09-04,ffc,half_ppr,Josh Allen,BUF,QB,21.7,5.0,51.0,6.3,66.0
2022,2022-09-04,ffc,half_ppr,Mark Andrews,BAL,TE,23.3,16.0,30.0,3.0,141.0
2022,2022-09-04,ffc,half_ppr,Tyreek Hill,MIA,WR,23.6,14.0,31.0,3.5,199.0
2022,2022-09-04,ffc,half_ppr,James Conner,ARI,RB,25.1,15.0,33.0,3.5,111.0
2022,2022-09-04,ffc,half_ppr,Mike Evans,TB,WR,26.7,19.0,37.0,3.0,141.0
2022,2022-09-04,ffc,half_ppr,Ezekiel Elliott,DAL,RB,27.7,18.0,56.0,4.0,139.0
2022,2022-09-04,ffc,half_ppr,A.J. Brown,PHI,WR,28.4,19.0,36.0,3.4,130.0
2022,2022-09-04,ffc,half_ppr,Michael Pittman Jr.,IND,WR,28.9,20.0,38.0,3.1,183.0
