season,snapshot_date,source,format,player_name,team,position,adp,high,low,stdev,times_drafted
2024,2024-09-01,ffc,ppr,Christian McCaffrey,SF,RB,1.4,1.0,5.0,0.7,181.0
2024,2024-09-01,ffc,ppr,Breece Hall,NYJ,RB,2.2,1.0,5.0,0.9,68.0
2024,2024-09-01,ffc,ppr,Tyreek Hill,MIA,WR,2.6,1.0,6.0,0.9,144.0
2024,2024-09-01,ffc,ppr,CeeDee Lamb,DAL,WR,3.7,1.0,6.0,1.3,321.0
2024,2024-09-01,ffc,ppr,Bijan Robinson,ATL,RB,4.9,1.0,9.0,1.3,281.0
2024,2024-09-01,ffc,ppr,Amon-Ra St. Brown,DET,WR,6.2,3.0,10.0,1.2,261.0
2024,2024-09-01,ffc,ppr,Ja'Marr Chase,CIN,WR,7.2,2.0,11.0,1.8,162.0
2024,2024-09-01,ffc,ppr,Justin Jefferson,MIN,WR,8.0,3.0,14.0,1.6,242.0
2024,2024-09-01,ffc,ppr,Jahmyr Gibbs,DET,RB,9.4,3.0,17.0,2.2,151.0
2024,2024-09-01,ffc,ppr,Jonathan Taylor,IND,RB,9.8,4.0,15.0,2.0,212.0
2024,2024-09-01,ffc,ppr,A.J. Brown,PHI,WR,10.9,6.0,15.0,1.8,248.0
2024,2024-09-01,ffc,ppr,Saquon Barkley,PHI,RB,11.3,5.0,18.0,2.3,243.0
2024,2024-09-01,ffc,ppr,Garrett Wilson,NYJ,WR,12.1,7.0,18.0,1.9,311.0
2024,2024-09-01,ffc,ppr,Marvin Harrison Jr.,ARI,WR,14.5,8.0,19.0,2.3,152.0
2024,2024-09-01,ffc,ppr,Puka Nacua,LAR,WR,15.2,9.0,23.0,2.2,136.0
2024,2024-09-01,ffc,ppr,Kyren Williams,LAR,RB,15.9,8.0,24.0,2.9,174.0
2024,2024-09-01,ffc,ppr,Derrick Henry,BAL,RB,15.9,8.0,24.0,2.8,283.0
2024,2024-09-01,ffc,ppr,Travis Etienne Jr.,JAX,RB,17.6,11.0,25.0,2.5,250.0
2024,2024-09-01,ffc,ppr,Cooper Kupp,LAR,WR,18.9,12.0,26.0,2.7,189.0
2024,2024-09-01,ffc,ppr,Isiah Pacheco,KC,RB,19.8,12.0,27.0,2.9,285.0
2024,2024-09-01,ffc,ppr,Davante Adams,NYJ,WR,20.0,12.0,28.0,2.8,128.0
2024,2024-09-01,ffc,ppr,De'Von Achane,MIA,RB,21.4,9.0,34.0,4.5,227.0
2024,2024-09-01,ffc,ppr,Drake London,ATL,WR,21.5,13.0,28.0,3.1,174.0
2024,2024-09-01,ffc,ppr,Deebo Samuel Sr.,SF,WR,23.0,16.0,30.0,3.2,138.0
2024,2024-09-01,ffc,ppr,Josh Jacobs,GB,RB,23.6,14.0,33.0,3.6,229.0
2024,2024-09-01,ffc,ppr,Travis Kelce,KC,TE,24.4,12.0,34.0,4.6,104.0
2024,2024-09-01,ffc,ppr,Josh Allen,BUF,QB,25.1,11.0,37.0,5.2,116.0
2024,2024-09-01,ffc,ppr,Chris Olave,NO,WR,26.2,17.0,33.0,3.3,194.0
2024,2024-09-01,ffc,ppr,Rachaad White,TB,RB,29.0,24.0,37.0,3.3,108.0
2024,2024-09-01,ffc,ppr,Jaylen Waddle,MIA,WR,29.1,19.0,40.0,3.7,295.0
2024,2024-09-01,ffc,ppr,Sam LaPorta,DET,TE,29.4,19.0,43.0,4.0,148.0
2024,2024-09-01,ffc,ppr,James Cook III,BUF,RB,30.3,19.0,41.0,4.1,244.0
2024,2024-09-01,ffc,ppr,Patrick Mahomes,KC,QB,30.8,14.0,44.0,6.2,140.0
2024,2024-09-01,ffc,ppr,Nico Collins,HOU,WR,32.1,21.0,41.0,4.0,301.0
2024,2024-09-01,ffc,ppr,Alvin Kamara,NO,RB,32.3,22.0,42.0,3.8,196.0
2024,2024-09-01,ffc,ppr,Mike Evans,TB,WR,33.5,21.0,44.0,4.5,241.0
2024,2024-09-01,ffc,ppr,Joe Mixon,HOU,RB,35.0,25.0,47.0,4.3,200.0
2024,2024-09-01,ffc,ppr,Kenneth Walker,SEA,RB,35.6,24.0,46.0,4.1,261.0
2024,2024-09-01,ffc,ppr,Jalen Hurts,PHI,QB,37.3,23.0,47.0,5.4,219.0
2024,2024-09-01,ffc,ppr,DeVonta Smith,PHI,WR,38.3,27.0,47.0,4.1,167.0
2024,2024-09-01,ffc,ppr,Malik Nabers,NYG,WR,38.3,26.0,50.0,4.6,221.0
2024,2024-09-01,ffc,ppr,DK Metcalf,SEA,WR,40.7,25.0,55.0,5.7,333.0
2024,2024-09-01,ffc,ppr,Mark Andrews,BAL,TE,41.2,28.0,54.0,4.9,118.0
2024,2024-09-01,ffc,ppr,Stefon Diggs,HOU,WR,41.8,29.0,51.0,4.8,83.0
2024,2024-09-01,ffc,ppr,DJ Moore,CHI,WR,43.7,31.0,56.0,4.6,263.0
