season,snapshot_date,source,format,player_name,team,position,adp,high,low,stdev,times_drafted
2025,2025-09-01,ffc,standard,Saquon Barkley,PHI,RB,1.6,1.0,3.0,0.8,19.0
2025,2025-09-01,ffc,standard,Bijan Robinson,ATL,RB,2.0,1.0,3.0,0.8,27.0
2025,2025-09-01,ffc,standard,Ja'Marr Chase,CIN,WR,3.8,1.0,7.0,1.7,75.0
2025,2025-09-01,ffc,standard,Jahmyr Gibbs,DET,RB,4.1,1.0,7.0,1.1,48.0
2025,2025-09-01,ffc,standard,Josh Jacobs,GB,RB,6.7,5.0,9.0,1.3,19.0
2025,2025-09-01,ffc,standard,Justin Jefferson,MIN,WR,7.1,5.0,11.0,1.3,32.0
2025,2025-09-01,ffc,standard,Christian McCaffrey,SF,RB,8.2,4.0,14.0,2.2,79.0
2025,2025-09-01,ffc,standard,Ashton Jeanty,LV,RB,8.8,5.0,13.0,2.2,39.0
2025,2025-09-01,ffc,standard,CeeDee Lamb,DAL,WR,10.7,5.0,16.0,2.0,69.0
2025,2025-09-01,ffc,standard,Kyren Williams,LAR,RB,11.8,8.0,17.0,2.0,28.0
2025,2025-09-01,ffc,standard,Bucky Irving,TB,RB,12.8,6.0,16.0,2.4,37.0
2025,2025-09-01,ffc,standard,Nico Collins,HOU,WR,13.3,9.0,17.0,1.7,31.0
2025,2025-09-01,ffc,standard,Malik Nabers,NYG,WR,14.6,10.0,19.0,1.6,38.0
2025,2025-09-01,ffc,standard,Lamar Jackson,BAL,QB,16.0,7.0,22.0,3.4,23.0
2025,2025-09-01,ffc,standard,Brian Thomas Jr.,JAX,WR,16.8,11.0,21.0,3.3,15.0
2025,2025-09-01,ffc,standard,De'Von Achane,MIA,RB,17.5,12.0,22.0,2.7,41.0
2025,2025-09-01,ffc,standard,Puka Nacua,LAR,WR,17.7,7.0,24.0,3.8,33.0
2025,2025-09-01,ffc,standard,Josh Allen,BUF,QB,18.0,7.0,24.0,3.9,29.0
2025,2025-09-01,ffc,standard,Chase Brown,CIN,RB,18.8,11.0,28.0,4.3,105.0
2025,2025-09-01,ffc,standard,Drake London,ATL,WR,20.8,14.0,26.0,3.0,25.0
2025,2025-09-01,ffc,standard,A.J. Brown,PHI,WR,20.8,14.0,26.0,3.1,19.0
2025,2025-09-01,ffc,standard,Amon-Ra St. Brown,DET,WR,23.1,13.0,32.0,3.9,77.0
2025,2025-09-01,ffc,standard,Joe Burrow,CIN,QB,24.2,8.0,30.0,5.8,28.0
2025,2025-09-01,ffc,standard,James Cook III,BUF,RB,24.4,15.0,30.0,3.7,34.0
2025,2025-09-01,ffc,standard,Jayden Daniels,WAS,QB,26.7,19.0,34.0,3.6,20.0
2025,2025-09-01,ffc,standard,Tee Higgins,CIN,WR,27.2,16.0,32.0,4.0,19.0
2025,2025-09-01,ffc,standard,Mike Evans,SF,WR,28.4,20.0,36.0,3.7,20.0
2025,2025-09-01,ffc,standard,Ladd McConkey,LAC,WR,29.5,23.0,36.0,2.7,34.0
2025,2025-09-01,ffc,standard,Omarion Hampton,LAC,RB,29.6,22.0,36.0,3.0,74.0
2025,2025-09-01,ffc,standard,Chuba Hubbard,CAR,RB,32.0,25.0,38.0,3.3,29.0
2025,2025-09-01,ffc,standard,Jalen Hurts,PHI,QB,32.2,17.0,40.0,5.6,52.0
2025,2025-09-01,ffc,standard,Davante Adams,LAR,WR,33.2,27.0,38.0,4.2,10.0
2025,2025-09-01,ffc,standard,Tyreek Hill,FA,WR,33.2,27.0,42.0,4.1,20.0
2025,2025-09-01,ffc,standard,DK Metcalf,PIT,WR,33.9,24.0,39.0,4.3,14.0
2025,2025-09-01,ffc,standard,James Conner,ARI,RB,34.5,25.0,40.0,3.5,19.0
2025,2025-09-01,ffc,standard,Marvin Harrison Jr.,ARI,WR,35.9,25.0,47.0,5.4,17.0
2025,2025-09-01,ffc,standard,Alvin Kamara,NO,RB,38.2,27.0,45.0,4.4,31.0
2025,2025-09-01,ffc,standard,Kenneth Walker,KC,RB,38.3,25.0,47.0,4.8,79.0
2025,2025-09-01,ffc,standard,Terry McLaurin,WAS,WR,39.2,30.0,51.0,4.3,36.0
2025,2025-09-01,ffc,standard,Xavier Worthy,KC,WR,41.1,35.0,47.0,4.1,17.0
2025,2025-09-01,ffc,standard,Jameson Williams,DET,WR,41.8,35.0,53.0,5.6,18.0
2025,2025-09-01,ffc,standard,Courtland Sutton,DEN,WR,42.8,31.0,53.0,4.7,30.0
2025,2025-09-01,ffc,standard,TreVeyon Henderson,NE,RB,43.4,26.0,59.0,7.2,115.0
2025,2025-09-01,ffc,standard,Jaxon Smith-Njigba,SEA,WR,44.2,31.0,65.0,5.1,49.0
2025,2025-09-01,ffc,standard,Breece Hall,NYJ,RB,44.4,31.0,53.0,6.2,41.0
2025,2025-09-01,ffc,standard,Baker Mayfield,TB,QB,46.5,35.0,55.0,7.5,13.0
2025,2025-09-01,ffc,standard,Brock Bowers,LV,TE,46.8,30.0,66.0,10.4,71.0
2025,2025-09-01,ffc,standard,Tetairoa McMillan,CAR,WR,47.9,38.0,58.0,4.6,18.0
2025,2025-09-01,ffc,standard,Patrick Mahomes,KC,QB,49.5,38.0,57.0,6.1,12.0
2025,2025-09-01,ffc,standard,George Kittle,SF,TE,49.6,29.0,62.0,7.7,47.0
2025,2025-09-01,ffc,standard,DeVonta Smith,PHI,WR,50.2,44.0,61.0,4.2,19.0
2025,2025-09-01,ffc,standard,DJ Moore,BUF,WR,51.3,38.0,61.0,5.3,15.0
2025,2025-09-01,ffc,standard,David Montgomery,HOU,RB,53.5,41.0,63.0,7.8,20.0
2025,2025-09-01,ffc,standard,Garrett Wilson,NYJ,WR,54.1,48.0,67.0,4.0,19.0
2025,2025-09-01,ffc,standard,Calvin Ridley,TEN,WR,54.1,42.0,66.0,5.9,44.0
2025,2025-09-01,ffc,standard,Tony Pollard,TEN,RB,54.4,38.0,67.0,6.0,45.0
2025,2025-09-01,ffc,standard,D'Andre Swift,CHI,RB,54.8,35.0,65.0,7.3,54.0
2025,2025-09-01,ffc,standard,Trey McBride,ARI,TE,55.1,36.0,68.0,8.2,30.0
2025,2025-09-01,ffc,standard,George Pickens,DAL,WR,57.0,45.0,69.0,4.8,50.0
2025,2025-09-01,ffc,standard,Zay Flowers,BAL,WR,58.8,49.0,68.0,6.5,18.0
2025,2025-09-01,ffc,standard,RJ Harvey,DEN,RB,61.2,42.0,74.0,7.2,58.0
2025,2025-09-01,ffc,standard,Isiah Pacheco,DET,RB,62.4,44.0,72.0,7.0,39.0
2025,2025-09-01,ffc,standard,Aaron Jones Sr.,MIN,RB,64.0,48.0,71.0,6.2,21.0
2025,2025-09-01,ffc,standard,Sam LaPorta,DET,TE,64.2,49.0,75.0,6.0,23.0
2025,2025-09-01,ffc,standard,Deebo Samuel Sr.,FA,WR,65.0,45.0,75.0,7.5,21.0
2025,2025-09-01,ffc,standard,Bo Nix,DEN,QB,66.8,49.0,84.0,10.0,20.0
