adp_rank,player_name,position,team,sleeper_id,age,years_exp
1,Josh Allen,QB,BUF,4984,30.0,8
2,Bijan Robinson,RB,ATL,9509,24.0,3
3,Jahmyr Gibbs,RB,DET,9221,24.0,3
4,Drake Maye,QB,NE,11564,23.0,2
5,Ja'Marr Chase,WR,CIN,7564,26.0,5
6,Jonathan Taylor,RB,IND,6813,27.0,6
7,Christian McCaffrey,RB,SF,4034,30.0,9
8,James Cook,RB,BUF,8138,26.0,4
9,Puka Nacua,WR,LAR,9493,25.0,3
10,Jaxon Smith-Njigba,WR,SEA,9488,24.0,3
11,Kenneth Walker,RB,KC,8151,25.0,4
12,Jayden Daniels,QB,WAS,11566,25.0,2
13,De'Von Achane,RB,MIA,9226,24.0,3
14,CeeDee Lamb,WR,DAL,6786,27.0,6
15,Joe Burrow,QB,CIN,6770,29.0,6
16,Amon-Ra St. Brown,WR,DET,7547,26.0,5
17,Justin Jefferson,WR,MIN,6794,27.0,6
18,Ashton Jeanty,RB,LV,12527,22.0,1
19,Omarion Hampton,RB,LAC,12507,23.0,1
20,Lamar Jackson,QB,BAL,4881,29.0,8
21,Saquon Barkley,RB,PHI,4866,29.0,8
22,Drake London,WR,ATL,8112,24.0,4
23,Jeremiyah Love,RB,ARI,13287,21.0,0
24,Caleb Williams,QB,CHI,11560,24.0,2
25,Chase Brown,RB,CIN,9224,26.0,3
26,Trey McBride,TE,ARI,8130,26.0,4
27,Malik Nabers,WR,NYG,11632,22.0,2
28,Josh Jacobs,RB,GB,5850,28.0,7
29,A.J. Brown,WR,NE,5859,29.0,7
30,Nico Collins,WR,HOU,7569,27.0,5
31,Brock Bowers,TE,LV,11604,23.0,2
32,Bucky Irving,RB,TB,11584,23.0,2
33,George Pickens,WR,DAL,8137,25.0,4
34,Jaxson Dart,QB,NYG,12508,23.0,1
35,Derrick Henry,RB,BAL,3198,32.0,10
36,Justin Herbert,QB,LAC,6797,28.0,6
37,Chris Olave,WR,NO,8144,26.0,4
38,Patrick Mahomes,QB,KC,4046,30.0,9
39,Kyren Williams,RB,LAR,8150,25.0,4
40,Jalen Hurts,QB,PHI,6904,27.0,6
41,Breece Hall,RB,NYJ,8155,25.0,4
42,Todd Gurley,RB,,2315,27.0,7
43,Travis Etienne,RB,NO,7543,27.0,5
44,Trevor Lawrence,QB,JAX,7523,26.0,5
45,Javonte Williams,RB,DAL,7588,26.0,5
46,Rashee Rice,WR,KC,10229,26.0,3
47,Bo Nix,QB,DEN,11563,26.0,2
48,Tee Higgins,WR,CIN,6801,27.0,6
49,DeVonta Smith,WR,PHI,7525,27.0,5
50,Brock Purdy,QB,SF,8183,26.0,4
51,TreVeyon Henderson,RB,NE,12529,23.0,1
52,Tetairoa McMillan,WR,CAR,12526,23.0,1
53,Garrett Wilson,WR,NYJ,8146,25.0,4
54,Fernando Mendoza,QB,LV,13269,22.0,0
55,RJ Harvey,RB,DEN,12489,25.0,1
56,Luther Burden,WR,CHI,12519,22.0,1
57,Ladd McConkey,WR,LAC,11635,24.0,2
58,Cam Skattebo,RB,NYG,12481,24.0,1
59,Jaylen Waddle,WR,DEN,7526,27.0,5
60,Emeka Egbuka,WR,TB,12514,23.0,1
61,Bhayshul Tuten,RB,JAX,12490,23.0,1
62,Bryce Ford-Wheaton,WR,,9499,26.0,3
63,Dak Prescott,QB,DAL,3294,32.0,10
64,Quinshon Judkins,RB,CLE,12512,22.0,1
65,Davante Adams,WR,LAR,2133,33.0,12
66,D'Andre Swift,RB,CHI,6790,27.0,6
67,Mike Evans,WR,SF,2216,32.0,12
68,Rome Odunze,WR,CHI,11620,24.0,2
69,David Montgomery,RB,HOU,5892,29.0,7
70,Colston Loveland,TE,CHI,12517,22.0,1
71,Zay Flowers,WR,BAL,9997,25.0,3
72,Jordan Love,QB,GB,6804,27.0,6
73,Jaylen Warren,RB,PIT,8228,27.0,4
74,Jameson Williams,WR,DET,8148,25.0,4
75,Terry McLaurin,WR,WAS,5927,30.0,7
76,Tyler Warren,TE,IND,12518,24.0,1
77,Rhamondre Stevenson,RB,NE,7611,28.0,5
78,DJ Moore,WR,BUF,4983,29.0,8
79,Carnell Tate,WR,TEN,13279,21.0,0
80,Kyle Monangai,RB,CHI,12534,24.0,1
81,Jadarian Price,RB,SEA,13286,22.0,0
82,Tony Pollard,RB,TEN,5967,29.0,7
83,Tucker Kraft,TE,GB,9484,25.0,3
84,Christian Watson,WR,GB,8167,27.0,4
85,Harold Fannin,TE,CLE,12506,21.0,1
86,Baker Mayfield,QB,TB,4892,31.0,8
87,Rico Dowdle,RB,PIT,7021,28.0,6
88,Jordyn Tyson,WR,NO,13281,21.0,0
89,Chuba Hubbard,RB,CAR,7594,27.0,5
90,Jared Goff,QB,DET,3163,31.0,10
91,Brian Thomas,WR,JAX,11631,23.0,2
92,Alec Pierce,WR,IND,8142,26.0,4
93,Blake Corum,RB,LAR,11586,25.0,2
94,Parker Washington,WR,JAX,9487,24.0,3
95,Courtland Sutton,WR,DEN,5045,30.0,8
96,Kyle Pitts,TE,ATL,7553,25.0,5
97,DK Metcalf,WR,PIT,5846,28.0,7
98,Tom Brady,QB,,167,45.0,23
99,J.K. Dobbins,RB,DEN,6806,27.0,6
100,Cam Ward,QB,TEN,12522,24.0,1
101,Michael Wilson,WR,ARI,10232,26.0,3
102,Jakobi Meyers,WR,JAX,5947,29.0,7
103,Makai Lemon,WR,PHI,13294,22.0,0
104,Marvin Harrison,WR,ARI,11628,23.0,2
105,Sam LaPorta,TE,DET,10859,25.0,3
106,Deebo Samuel,WR,,5872,30.0,7
107,Brian Robinson,RB,ATL,8154,27.0,4
108,C.J. Stroud,QB,HOU,9758,24.0,3
109,Dalton Kincaid,TE,BUF,10236,26.0,3
110,Tyler Shough,QB,NO,12545,26.0,1
111,Oronde Gadsden,TE,LAC,12493,23.0,1
112,George Kittle,TE,SF,4217,32.0,9
113,Sam Darnold,QB,SEA,4943,29.0,8
114,Aaron Jones,RB,MIN,4199,31.0,9
115,Ricky Pearsall,WR,SF,11638,25.0,2
116,Kenny Gainwell,RB,TB,7567,27.0,5
117,Chris Godwin,WR,TB,4037,30.0,9
118,Tyler Allgeier,RB,ARI,8132,26.0,4
119,Antonio Brown,WR,,536,33.0,12
120,Kyler Murray,QB,MIN,5849,28.0,7
121,James Conner,RB,ARI,4137,31.0,9
122,Hunter Henry,TE,NE,3214,31.0,10
123,Dallas Goedert,TE,PHI,5022,31.0,8
124,Jacory Croskey-Merritt,RB,WAS,12533,25.0,1
125,Mark Andrews,TE,BAL,5012,30.0,8
126,Jake Ferguson,TE,DAL,8110,27.0,4
127,Bryce Young,QB,CAR,9228,24.0,3
128,Michael Pittman,WR,PIT,6819,28.0,6
129,Dalton Schultz,TE,HOU,5001,29.0,8
130,Jordan Addison,WR,MIN,9756,24.0,3
131,Zach Charbonnet,RB,SEA,9753,25.0,3
132,Wan'Dale Robinson,WR,TEN,8126,25.0,4
133,Matthew Stafford,QB,LAR,421,38.0,17
134,Juwan Johnson,TE,NO,7002,29.0,6
135,Quentin Johnston,WR,LAC,9754,24.0,3
136,Romeo Doubs,WR,NE,8121,26.0,4
137,Brenton Strange,TE,JAX,9480,25.0,3
138,Gus Edwards,RB,,5248,29.0,7
139,Thomas Odukoya,TE,,8924,28.0,4
140,Woody Marks,RB,HOU,12474,25.0,1
141,Travis Kelce,TE,KC,1466,36.0,13
142,Kenyon Sadiq,TE,NYJ,13330,21.0,0
143,Malik Willis,QB,MIA,8161,27.0,4
144,Daniel Jones,QB,IND,5870,29.0,7
145,Khalil Shakir,WR,BUF,8134,26.0,4
146,Tyrone Tracy,RB,NYG,11655,26.0,2
147,Ezekiel Elliott,RB,,3164,29.0,9
148,Jonathon Brooks,RB,CAR,11583,22.0,2
149,Jordan Mason,RB,MIN,8408,27.0,4
150,Emmett Johnson,RB,KC,13337,22.0,0
151,Isaiah Likely,TE,NYG,8131,26.0,4
152,Jonah Coleman,RB,DEN,13345,22.0,0
153,Trey Benson,RB,ARI,11589,23.0,2
154,Keenan Allen,WR,,1479,33.0,13
155,Travis Hunter,WR,JAX,12530,23.0,1
156,Rob Gronkowski,TE,,515,32.0,12
157,William Fuller,WR,,3157,27.0,6
158,Rachaad White,RB,WAS,8136,27.0,4
159,Jayden Reed,WR,GB,10222,26.0,3
160,Alvin Kamara,RB,NO,4035,30.0,9
161,Jalen Coker,WR,CAR,11646,24.0,2
162,KC Concepcion,WR,CLE,13298,21.0,0
163,Stefon Diggs,WR,,2449,32.0,11
164,Josh Downs,WR,IND,9500,24.0,3
165,Xavier Worthy,WR,KC,11624,23.0,2
166,Tyjae Spears,RB,TEN,9508,25.0,3
167,Jauan Jennings,WR,MIN,7049,28.0,6
168,Henry Ruggs,WR,,6789,22.0,2
169,Matthew Golden,WR,GB,12501,22.0,1
