# Feetball 2026 (Yahoo) — available players (status=A) sorted by Yahoo week-3 projection, read 2026-09-22.
C.J. Stroud
Jordan Love
Kyler Murray
Baker Mayfield
Bryce Young
Jacoby Brissett
Daniel Jones
Aaron Rodgers
Geno Smith
Malik Willis
Jameis Winston
Drew Lock
Deshaun Watson
Kirk Cousins
Cam Ward
Case Keenum
Marcus Mariota
Michael Penix Jr.
Tyson Bagent
Sam Darnold
Kenny Gainwell
Emmett Johnson
Justice Hill
George Holani
Chris Brooks
Brian Robinson
Kaleb Johnson
Samaje Perine
Mike Washington Jr.
Devin Singletary
Raheim Sanders
Emanuel Wilson
Emari Demercado
Najee Harris
DeeJay Dallas
Ray Davis
AJ Dillon
Will Shipley
Nicholas Singleton
Sione Vaki
Ty Johnson
Jaylen Wright
Seth McGowan
Ryan Flournoy
Kayshon Boutte
Tre Tucker
Rashid Shaheed
Rashod Bateman
Malik Washington
DeMario Douglas
Mack Hollins
Xavier Hutchinson
Tre' Harris
Jalen Nailor
Jerry Jeudy
Tyquan Thornton
Keon Coleman
Jaylin Noel
Jauan Jennings
Cooper Kupp
Ted Hurst III
Kendrick Bourne
Calvin Ridley
Kalif Raymond
Isaac TeSlaa
Xavier Legette
Jack Bech
Jalen McMillan
Roman Wilson
Andrei Iosivas
Germie Bernard
Isaiah Williams
Jahan Dotson
Elic Ayomanor
Joshua Palmer
Troy Franklin
Tory Horton
Dyami Brown
Travis Hunter
Marvin Mims Jr.
Dalton Schultz
Hunter Henry
Brenton Strange
Pat Freiermuth
T.J. Hockenson
Oronde Gadsden
AJ Barner
Cade Otton
Greg Dulcich
Darren Waller
Gunnar Helm
Mike Gesicki
Terrance Ferguson
Evan Engram
Chig Okonkwo
Colby Parkinson
Zach Ertz
Michael Mayer
