# La Liga 2026 (ESPN) — free agents + waivers from ESPN's own player pool (kona_player_info FREEAGENT/WAIVERS), top by week-3 projection, read 2026-09-22.
Jordan Love
C.J. Stroud
Sam Darnold
Deshaun Watson
Marcus Mariota
Geno Smith
Malik Willis
Jameis Winston
Tyson Bagent
Aaron Rodgers
Michael Penix Jr.
Jacoby Brissett
Kirk Cousins
Tanner McKee
Cade Klubnik
Jarrett Stidham
Brady Cook
Ty Simpson
Stetson Bennett IV
Desmond Ridder
Emanuel Wilson
Kaleb Johnson
Chris Brooks
Justice Hill
AJ Dillon
Ty Johnson
Devin Singletary
Samaje Perine
Raheim Sanders
Sione Vaki
DeeJay Dallas
Najee Harris
Seth McGowan
Kyle Juszczyk
Will Shipley
CJ Donaldson
Ameer Abdullah
Jaylen Wright
Jaleel McLaughlin
Ollie Gordon II
Nicholas Singleton
LeQuint Allen Jr.
Ray Davis
Hunter Luepke
Demond Claiborne
Kaytron Allen
Alec Ingold
Connor Heyward
Michael Burton
Sean Tucker
Malik Washington
Mack Hollins
DeMario Douglas
Tre' Harris
Xavier Hutchinson
Kalif Raymond
Roman Wilson
Isaiah Williams
Keon Coleman
Jalen Nailor
Kendrick Bourne
Jahan Dotson
Laquon Treadwell
Jauan Jennings
Dyami Brown
Cooper Kupp
Ted Hurst III
Chris Bell
Xavier Legette
Chris Moore
Jerry Jeudy
Pat Bryant
Tyquan Thornton
Skyy Moore
Isaac TeSlaa
Kyle Williams
Antonio Williams
Darnell Mooney
Elic Ayomanor
Jack Bech
Kevin Coleman Jr.
Jaylin Noel
Bryce Lance
LaJohntay Wester
Olamide Zaccheaus
Oronde Gadsden
Pat Freiermuth
Terrance Ferguson
Gunnar Helm
Cade Otton
AJ Barner
Chig Okonkwo
Greg Dulcich
Evan Engram
Darren Waller
Tommy Tremble
Dawson Knox
Colby Parkinson
Johnny Mundt
Mason Taylor
