player_id,player_name,position,recent_team,wk1_opp,wk1_points,wk1_vorp,matchup_mult,base_pg,projected_season_points,wk1_overall_rank,wk1_pos_rank,overall_rank
00-0033280,Christian McCaffrey,RB,SF,LA,20.75,9.46,1.12,18.523529411764706,314.9,1,1,5
00-0036900,Ja'Marr Chase,WR,CIN,TB,17.86,7.51,1.007395273386558,17.72941176470588,301.4,2,1,3
00-0039139,Jahmyr Gibbs,RB,DET,NO,18.55,7.26,0.954058075399458,19.447058823529414,330.6,3,2,1
00-0039075,Puka Nacua,WR,LA,SF,17.59,7.24,1.002368385437813,17.552941176470586,298.4,4,2,4
00-0034844,Saquon Barkley,RB,PHI,WAS,18.32,7.03,1.12,16.352941176470587,278.0,5,3,14
00-0038542,Bijan Robinson,RB,ATL,PIT,18.04,6.75,0.9388112997936835,19.211764705882356,326.6,6,4,2
00-0039338,Brock Bowers,TE,LV,MIA,14.44,6.34,1.12,12.894117647058822,219.2,7,1,15
00-0039040,De'Von Achane,RB,MIA,LV,17.21,5.92,1.0344538372599936,16.63529411764706,282.8,8,5,12
00-0040666,Omarion Hampton,RB,LAC,ARI,17.03,5.74,1.12,15.205882352941176,258.5,9,6,19
00-0038543,Jaxon Smith-Njigba,WR,SEA,NE,15.98,5.63,1.007862161257946,15.852941176470589,269.5,10,3,8
00-0032764,Derrick Henry,RB,BAL,IND,16.89,5.6,1.0111023711594231,16.705882352941178,284.0,11,7,10
00-0037248,James Cook,RB,BUF,HOU,16.76,5.47,0.9815589353612166,17.076470588235296,290.3,12,8,7
00-0036223,Jonathan Taylor,RB,IND,BAL,16.11,4.82,0.88,18.305882352941175,311.2,13,9,6
00-0036358,CeeDee Lamb,WR,DAL,NYG,14.87,4.52,1.0216450904927,14.558823529411764,247.5,14,4,16
00-0037744,Trey McBride,TE,ARI,LAC,12.55,4.45,0.9553353493897829,13.141176470588235,223.4,15,2,13
00-0034857,Josh Allen,QB,BUF,HOU,22.61,4.44,0.9764265880276385,23.158823529411762,393.7,16,1,11
00-0037840,Kyren Williams,RB,LA,SF,15.68,4.39,1.1017110266159695,14.229411764705883,241.9,17,10,25
00-0036963,Amon-Ra St. Brown,WR,DET,NO,14.73,4.38,0.9374184929546104,15.711764705882354,267.1,18,5,9
00-0039067,Rashee Rice,WR,KC,DEN,14.55,4.2,1.0375174337517434,14.023529411764706,238.4,19,6,18
00-0039337,Malik Nabers,WR,NYG,DAL,14.36,4.01,1.12,12.81764705882353,217.9,20,7,30
00-0037238,Drake London,WR,ATL,PIT,14.19,3.84,1.0244396435322711,13.847058823529412,235.4,21,8,20
00-0038597,Chase Brown,RB,CIN,TB,14.88,3.59,1.0177742186167291,14.617647058823529,248.5,22,11,21
00-0036322,Justin Jefferson,WR,MIN,GB,13.92,3.57,1.0784499054820416,12.911764705882353,219.5,23,9,29
00-0037239,Chris Olave,WR,NO,DET,13.84,3.49,1.12,12.358823529411765,210.1,24,10,36
00-0036442,Joe Burrow,QB,CIN,TB,21.62,3.45,1.12,19.305882352941175,328.2,25,2,44
00-0040126,Colston Loveland,TE,CHI,CAR,11.32,3.22,1.0334863376174535,10.952941176470588,186.2,26,3,27
00-0037247,George Pickens,WR,DAL,NYG,13.27,2.92,1.0216450904927,12.988235294117647,220.8,27,11,26
00-0040124,Tetairoa McMillan,WR,CAR,CHI,13.25,2.9,1.12,11.829411764705881,201.1,28,12,41
00-0036389,Jalen Hurts,QB,PHI,WAS,21.06,2.89,1.0801411392191869,19.5,331.5,29,3,40
00-0040122,Ashton Jeanty,RB,LV,MIA,13.99,2.7,0.9150277677742187,15.294117647058824,260.0,30,12,17
00-0035676,A.J. Brown,WR,NE,SEA,13.03,2.68,0.9921378387420543,13.13529411764706,223.3,31,13,24
00-0036275,D'Andre Swift,RB,CHI,CAR,13.87,2.58,1.12,12.382352941176471,210.5,32,13,52
00-0040691,Jaxson Dart,QB,NYG,DAL,20.69,2.52,1.12,18.470588235294116,314.0,33,4,63
00-0036997,Javonte Williams,RB,DAL,NYG,13.81,2.52,1.1021730889516481,12.529411764705882,213.0,34,14,49
00-0037740,Garrett Wilson,WR,NYJ,TEN,12.81,2.46,1.107398454149305,11.570588235294117,196.7,35,14,47
00-0036410,Tee Higgins,WR,CIN,TB,12.8,2.45,1.007395273386558,12.705882352941176,216.0,36,15,33
00-0033288,George Kittle,TE,SF,LA,10.42,2.32,0.9521046301864101,10.947058823529412,186.1,37,4,28
00-0037834,Brock Purdy,QB,SF,LA,20.34,2.17,1.0990438892049184,18.50588235294118,314.6,38,5,60
