player_id,player_name,position,recent_team,wk1_opp,wk1_points,wk1_vorp,matchup_mult,base_pg,projected_season_points,wk1_overall_rank,wk1_pos_rank,overall_rank
00-0033280,Christian McCaffrey,RB,SF,LA,22.95,10.33,1.12,20.488235294117647,348.3,1,1,5
00-0036900,Ja'Marr Chase,WR,CIN,TB,21.68,9.16,1.003633483037199,21.605882352941176,367.3,2,1,1
00-0039075,Puka Nacua,WR,LA,SF,21.64,9.12,1.010515829090104,21.41764705882353,364.1,3,2,3
00-0039338,Brock Bowers,TE,LV,MIA,18.08,8.1,1.12,16.147058823529413,274.5,4,1,10
00-0038542,Bijan Robinson,RB,ATL,PIT,20.33,7.71,0.9517931430210873,21.358823529411765,363.1,5,2,4
00-0039139,Jahmyr Gibbs,RB,DET,NO,20.2,7.58,0.9410582019717192,21.46470588235294,364.9,6,3,2
00-0038543,Jaxon Smith-Njigba,WR,SEA,NE,19.59,7.07,1.015730034955633,19.28235294117647,327.8,7,3,7
00-0034844,Saquon Barkley,RB,PHI,WAS,19.47,6.85,1.12,17.38235294117647,295.5,8,4,16
00-0040666,Omarion Hampton,RB,LAC,ARI,19.07,6.45,1.12,17.029411764705884,289.5,9,5,18
00-0039040,De'Von Achane,RB,MIA,LV,18.75,6.13,1.0310045062932716,18.188235294117646,309.2,10,6,12
00-0037248,James Cook,RB,BUF,HOU,18.37,5.75,0.9845794392523364,18.65294117647059,317.1,11,7,11
00-0036358,CeeDee Lamb,WR,DAL,NYG,18.08,5.56,1.014317887211449,17.823529411764707,303.0,12,4,13
00-0037744,Trey McBride,TE,ARI,LAC,15.54,5.56,0.9558416602613374,16.258823529411764,276.4,13,2,9
00-0036223,Jonathan Taylor,RB,IND,BAL,18.08,5.46,0.9003392669072325,20.08235294117647,341.4,14,8,6
00-0036963,Amon-Ra St. Brown,WR,DET,NO,17.94,5.42,0.9407840467180809,19.070588235294117,324.2,15,5,8
00-0039067,Rashee Rice,WR,KC,DEN,17.71,5.19,1.044154370034052,16.958823529411767,288.3,16,6,19
00-0032764,Derrick Henry,RB,BAL,IND,17.71,5.09,1.0066946943144737,17.58823529411765,299.0,17,9,15
00-0039337,Malik Nabers,WR,NYG,DAL,17.29,4.77,1.12,15.435294117647057,262.4,18,7,32
00-0037840,Kyren Williams,RB,LA,SF,17.33,4.71,1.1140611724723875,15.558823529411764,264.5,19,10,30
00-0034857,Josh Allen,QB,BUF,HOU,22.64,4.46,0.9777569811970225,23.158823529411762,393.7,20,1,14
00-0037239,Chris Olave,WR,NO,DET,16.79,4.27,1.12,14.988235294117647,254.8,21,8,35
00-0036322,Justin Jefferson,WR,MIN,GB,16.73,4.21,1.0661672448151154,15.688235294117646,266.7,22,9,27
00-0037238,Drake London,WR,ATL,PIT,16.6,4.08,1.0074913277732673,16.476470588235294,280.1,23,10,20
00-0038597,Chase Brown,RB,CIN,TB,16.59,3.97,1.0173302370551978,16.305882352941175,277.2,24,11,21
00-0040126,Colston Loveland,TE,CHI,CAR,13.73,3.75,1.019946195234435,13.458823529411765,228.8,25,3,22
00-0040124,Tetairoa McMillan,WR,CAR,CHI,16.12,3.6,1.12,14.394117647058822,244.7,26,11,41
00-0036442,Joe Burrow,QB,CIN,TB,21.62,3.44,1.12,19.305882352941175,328.2,27,2,49
00-0040122,Ashton Jeanty,RB,LV,MIA,16.01,3.39,0.9374117301748995,17.08235294117647,290.4,28,12,17
00-0037247,George Pickens,WR,DAL,NYG,15.69,3.17,1.014317887211449,15.46470588235294,262.9,29,12,31
00-0035676,A.J. Brown,WR,NE,SEA,15.59,3.07,0.9842699650443667,15.835294117647058,269.2,30,13,26
00-0030506,Travis Kelce,TE,KC,DEN,12.98,3.0,1.12,11.588235294117647,197.0,31,4,43
00-0037740,Garrett Wilson,WR,NYJ,TEN,15.44,2.92,1.0943461694577925,14.111764705882353,239.9,32,14,46
00-0036389,Jalen Hurts,QB,PHI,WAS,21.08,2.9,1.0798308801254093,19.523529411764706,331.9,33,3,45
00-0036912,DeVonta Smith,WR,PHI,WAS,15.31,2.79,1.102516596179278,13.882352941176471,236.0,34,15,52
00-0039064,Zay Flowers,WR,BAL,IND,15.28,2.76,1.0738153535935475,14.229411764705883,241.9,35,16,44
00-0036997,Javonte Williams,RB,DAL,NYG,15.32,2.7,1.1018068336815208,13.905882352941177,236.4,36,13,51
00-0033288,George Kittle,TE,SF,LA,12.62,2.64,0.9467105263157894,13.329411764705881,226.6,37,5,23
00-0036970,Kyle Pitts,TE,ATL,PIT,12.61,2.63,1.12,11.258823529411766,191.4,38,6,50
00-0036410,Tee Higgins,WR,CIN,TB,15.14,2.62,1.003633483037199,15.088235294117647,256.5,39,17,34
00-0036275,D'Andre Swift,RB,CHI,CAR,15.16,2.54,1.117795151341271,13.558823529411764,230.5,40,14,55
00-0040691,Jaxson Dart,QB,NYG,DAL,20.7,2.52,1.12,18.48235294117647,314.2,41,4,61
00-0037834,Brock Purdy,QB,SF,LA,20.34,2.16,1.0990438892049184,18.50588235294118,314.6,42,5,60
00-0036554,Nico Collins,WR,HOU,BUF,14.63,2.11,0.9197476201018375,15.905882352941175,270.4,43,18,24
00-0039361,Bucky Irving,RB,TB,CIN,14.61,1.99,1.0668614789619988,13.694117647058825,232.8,44,15,53
00-0031381,Davante Adams,WR,LA,SF,14.49,1.97,1.010515829090104,14.341176470588236,243.8,45,19,42
00-0034351,Dallas Goedert,TE,PHI,WAS,11.92,1.94,1.0985782413774627,10.847058823529412,184.4,46,7,56
00-0034796,Lamar Jackson,QB,BAL,IND,20.05,1.87,1.0045391158834194,19.958823529411767,339.3,47,6,37
